Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
6028,a,a,5.24,9.161
6484,a1,a1,5.14,16.414
8226,a3,a3,4.72,11.256
1398,aaah,aaah,6.44,16.922
2289,aah,aah,6.1,15.811
8528,aan,aan,4.58,13.415
6660,aaron,aaron,5.1,10.926
8330,ab,ab,4.68,13.619
10033,abandoned,abandoned,2.54,13.734
6029,abc,abc,5.24,10.012
7419,aber,aber,4.94,8.901
974,ability,ability,6.68,9.988
1176,able,able,6.56,1.248
9383,abnormal,abnormal,3.69,16.734
1883,aboard,aboard,6.24,13.786
9997,abortion,abortion,2.6,15.253
6400,about,about,5.16,11.669
2755,above,above,5.96,9.026
5636,abraham,abraham,5.32,15.043
621,abroad,abroad,6.96,12.282
9451,absence,absence,3.58,10.708
9230,absent,absent,3.9,12.657
5275,absolute,absolute,5.4,16.162
1738,absolutely,absolutely,6.3,14.178
3968,absorbed,absorbed,5.66,14.792
3276,absorption,absorption,5.84,13.593
4655,abstract,abstract,5.53,14.424
7831,abt,abt,4.84,9.765
434,abundant,abundant,7.16,16.458
10189,abuse,abuse,1.88,12.395
10197,abused,abused,1.83,13.101
9071,abyss,abyss,4.1,17.108
4075,ac,ac,5.64,15.354
7420,acabo,acabo,4.94,9.564
2756,academic,academic,5.96,15.644
2476,academy,academy,6.04,13.395
4176,accent,accent,5.62,1.028
1438,accept,accept,6.42,10.708
1009,acceptable,acceptable,6.67,12.143
723,acceptance,acceptance,6.86,12.779
1207,accepted,accepted,6.54,14.598
3056,access,access,5.88,12.558
10098,accident,accident,2.32,15.178
9179,accidentally,accidentally,3.98,1.237
1947,accompanied,accompanied,6.22,11.119
2477,accompanying,accompanying,6.04,14.422
286,accomplished,accomplished,7.32,13.005
3533,accord,accord,5.76,12.382
4656,accordance,accordance,5.53,11.565
6661,according,according,5.1,9.949
3358,accordingly,accordingly,5.8,12.778
4762,account,account,5.5,953
7753,accounting,accounting,4.86,15.388
7338,accounts,accounts,4.96,14.978
3789,accumulation,accumulation,5.7,15.017
695,accuracy,accuracy,6.88,11.718
1011,accurate,accurate,6.67,10.383
749,accurately,accurately,6.84,14.619
9718,accusations,accusations,3.16,15.301
9851,accused,accused,2.92,15.497
4334,accustomed,accustomed,5.6,13.778
975,ace,ace,6.68,16.835
9960,ache,ache,2.68,12.027
222,achieve,achieve,7.42,12.304
155,achieved,achieved,7.56,13.726
141,achievement,achievement,7.58,14.299
9707,aching,aching,3.18,14.941
7904,acho,acho,4.82,7.197
9448,acid,acid,3.59,15.535
8804,acids,acids,4.38,19.529
1884,acknowledge,acknowledge,6.24,1.318
2290,acknowledged,acknowledged,6.1,14.321
1328,acoustic,acoustic,6.48,14.462
2353,acquainted,acquainted,6.08,15.497
1583,acquire,acquire,6.36,13.211
2478,acquired,acquired,6.04,15.113
3359,acquisition,acquisition,5.8,15.253
4571,acquisitions,acquisitions,5.54,17.168
2538,acres,acres,6.02,13.169
7421,across,across,4.94,10.956
2592,act,act,6,12.936
4457,acted,acted,5.56,10.529
