Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7756,b-after,b-after,4.86,11.608
101,b-day,b-day,7.68,15.312
6959,b-included,b-included,5.04,14.136
8176,b-includes,b-includes,4.74,11.747
7156,b-net,b-net,5,8.081
7911,b/c,b/c,4.82,1.32
8050,b1,b1,4.78,975
7912,b2,b2,4.82,11.008
8418,b3,b3,4.64,9.848
7688,b4,b4,4.88,12.558
7533,b6,b6,4.92,8.291
7837,b7,b7,4.84,10.568
8331,ba,ba,4.68,12.848
778,babe,babe,6.82,12.728
1785,babes,babes,6.28,17.501
200,babies,babies,7.46,15.012
320,baby,baby,7.28,18.521
7332,babylon,babylon,4.98,19.073
6303,back,back,5.18,12.403
6579,backed,backed,5.12,13.797
5172,background,background,5.42,12.137
5556,backs,backs,5.34,14.373
3461,backup,backup,5.78,13.746
8958,backwards,backwards,4.22,13.746
1365,backyard,backyard,6.47,16.721
2760,bacon,bacon,5.96,20.698
9438,bacteria,bacteria,3.61,19.771
9978,bad,bad,2.64,14.675
9290,baddest,baddest,3.82,20.172
9874,badly,badly,2.88,16.117
4079,bag,bag,5.64,10.645
9428,baghdad,baghdad,3.62,19.048
4352,bags,bags,5.58,10.897
8931,bah,bah,4.24,11.877
8717,bail,bail,4.44,17.162
6119,baila,baila,5.22,15.158
5161,bailar,bailar,5.43,10.408
5173,bailey,bailey,5.42,11.622
9343,bailout,bailout,3.74,16.759
7505,bajo,bajo,4.94,8.517
8106,bak,bak,4.76,8.935
977,bake,bake,6.68,14.061
1478,baked,baked,6.4,18.844
1254,baker,baker,6.52,14.177
1144,baking,baking,6.58,15.661
2071,balance,balance,6.18,16.123
1291,balanced,balanced,6.51,14.384
9247,bald,bald,3.9,19.284
2357,ball,ball,6.08,12.262
6489,baller,baller,5.14,11.068
2831,ballet,ballet,5.94,15.832
4872,ballin,ballin,5.48,16.318
6404,ballot,ballot,5.16,12.993
3125,balls,balls,5.86,12.124
5367,baltimore,baltimore,5.38,11.933
7426,bam,bam,4.94,13.911
9972,ban,ban,2.66,13.188
724,banana,banana,6.86,12.938
1440,band,band,6.42,1.553
2141,bands,bands,6.16,14.619
9196,bang,bang,3.96,14.841
7427,banging,banging,4.94,2.142
2911,bank,bank,5.92,16.268
6866,banker,banker,5.06,14.902
7982,bankers,bankers,4.8,18.626
3207,banking,banking,5.84,16.458
10155,bankruptcy,bankruptcy,2.06,1.596
2912,banks,banks,5.92,12.428
9875,banned,banned,2.88,12.879
3796,banner,banner,5.7,10.351
3292,bar,bar,5.82,18.035
4353,barack,barack,5.58,20.313
6120,barbara,barbara,5.22,13.596
3126,barbie,barbie,5.86,16.037
6580,bare,bare,5.12,17.219
8932,barely,barely,4.24,15.722
8520,bark,bark,4.59,18.475
5734,barnes,barnes,5.3,9.091
6304,barney,barney,5.18,13.805
6405,barometer,barometer,5.16,9.553
5174,barrel,barrel,5.42,1.295
6305,barry,barry,5.18,9.409
3883,bars,bars,5.68,15.836
7346,baru,baru,4.96,7.548
6772,base,base,5.08,10.467
3208,baseball,baseball,5.84,17.304
5934,based,based,5.26,7.508
6306,basement,basement,5.18,1.024
6668,bases,bases,5.1,10.351
9025,bash,bash,4.16,19.416
6406,basic,basic,5.16,13.456
4465,basically,basically,5.56,10.134
6407,basin,basin,5.16,16.081
5368,basis,basis,5.38,10.079
2541,basket,basket,6.02,10.784
2191,basketball,basketball,6.14,20.899
2483,bass,bass,6.04,16.898
10044,bastard,bastard,2.52,12.974
9961,bastards,bastards,2.68,15.178
5735,bat,bat,5.3,1.359
622,bath,bath,6.96,1.261
4263,bathroom,bathroom,5.6,13.248
1955,batman,batman,6.22,15.945
5080,battery,battery,5.44,1.198
9819,battle,battle,2.98,17.319
9324,battles,battles,3.78,2.003
2761,bay,bay,5.96,14.978
7757,bb,bb,4.86,9.037
2677,bbc,bbc,5.98,12.534
6960,bbm,bbm,5.04,10.294
1683,bbq,bbq,6.32,15.576
8051,bc,bc,4.78,8.154
117,bday,bday,7.64,16.753
3884,be,be,5.68,13.005
39,beach,beach,7.94,10.577
1104,beam,beam,6.6,13.702
3365,bean,bean,5.8,13.553
2603,beans,beans,6,16.537
3127,bear,bear,5.86,18.518
7913,beard,beard,4.82,12.887
6476,bearing,bearing,5.14,15.275
4354,bears,bears,5.58,18.193
9608,beast,beast,3.36,15.221
8981,beat,beat,4.2,19.795
9988,beaten,beaten,2.62,15.894
10025,beating,beating,2.56,18.969
1399,beatles,beatles,6.44,23.313
8769,beats,beats,4.4,19.272
43,beautiful,beautiful,7.92,11.753
78,beauty,beauty,7.76,16.107
4183,became,became,5.62,10.079
7157,because,because,5,8.571
7158,becker,becker,5,13.401
3797,become,become,5.7,9.313
3366,becomes,becomes,5.8,9.476
3293,becoming,becoming,5.82,919
420,bed,bed,7.18,12.887
5175,bedford,bedford,5.42,12.304
802,bedroom,bedroom,6.8,14.428
2130,beds,beds,6.17,17.177
1684,bedtime,bedtime,6.32,15.964
5450,bee,bee,5.36,16.507
5841,beef,beef,5.28,21.763
6961,been,been,5.04,11.773
5639,beep,beep,5.32,15.178
2913,beer,beer,5.92,23.891
2291,beers,beers,6.1,22.246
4264,bees,bees,5.6,21.381
6669,before,before,5.1,9.313
9767,beg,beg,3.08,1.336
2678,began,began,5.98,9.581
9248,begged,begged,3.9,16.739
9429,begging,begging,3.62,19.472
1786,begin,begin,6.28,11.256
2484,beginning,beginning,6.04,11.599
2832,begins,begins,5.94,11.502
3209,begun,begun,5.84,10.373
5842,behalf,behalf,5.28,10.887
4769,behavior,behavior,5.5,12.657
4184,behavioral,behavioral,5.62,13.384
4751,behaviors,behaviors,5.51,11.569
3434,behaviour,behaviour,5.8,14.139
8743,behind,behind,4.42,12.137
2007,behold,behold,6.2,14.574
7253,bei,bei,4.98,6.224
6031,beijing,beijing,5.24,1.685
7428,bein,bein,4.94,11.678
3210,being,being,5.84,16.081
2529,beings,beings,6.02,12.498
2358,belief,belief,6.08,14.405
2604,beliefs,beliefs,6,15.138
949,believe,believe,6.7,1.594
582,believed,believed,7,12.778
1392,believer,believer,6.46,15.431
779,believes,believes,6.82,11.899
2178,believing,believing,6.14,15.275
4355,bell,bell,5.58,12.792
2413,bella,bella,6.06,12.191
1579,belle,belle,6.37,1.537
1295,bells,bells,6.5,1.185
6670,bellwether,bellwether,5.1,11.112
8052,belly,belly,4.78,14.609
3367,belong,belong,5.8,17.023
1174,belonged,belonged,6.56,12.532
751,belonging,belonging,6.84,12.993
1740,belongs,belongs,6.3,11.473
276,beloved,beloved,7.34,12.715
8744,below,below,4.42,12.137
6867,belt,belt,5.06,10.956
7347,bem,bem,4.96,10.294
6490,ben,ben,5.14,13.704
5640,bench,bench,5.32,10.388
6868,bend,bend,5.06,13.157
8596,beneath,beneath,4.54,11.287
623,benefit,benefit,6.96,13.087
403,benefits,benefits,7.2,10.498
3885,benjamin,benjamin,5.68,12.196
7429,bennett,bennett,4.94,11.502
8229,bent,bent,4.72,15.654
2292,bentley,bentley,6.1,16.933
3211,benz,benz,5.84,18.446
6773,berger,berger,5.08,11.925
6208,berkeley,berkeley,5.2,13.997
5935,berlin,berlin,5.26,15.884
6581,bernard,bernard,5.12,10.029
6121,bernstein,bernstein,5.22,15.817
1685,berry,berry,6.32,13.768
5081,beside,beside,5.44,993
6491,besides,besides,5.14,11.068
4748,beso,beso,5.52,14.524
4336,besos,besos,5.59,1.632
421,best,best,7.18,16.866
8230,bestie,bestie,4.72,15.524
6032,bet,bet,5.24,13.933
4873,beta,beta,5.48,11.471
7042,betcha,betcha,5.02,15.068
4677,beth,beth,5.52,13.438
10050,betray,betray,2.5,1.632
10022,betrayed,betrayed,2.57,18.257
6671,betta,betta,5.1,14.178
583,better,better,7,12.778
6408,betty,betty,5.16,10.759
6672,between,between,5.1,6.468
4678,beverly,beverly,5.52,1.111
8959,beware,beware,4.22,16.695
4679,beyonce,beyonce,5.52,1.821
4770,beyond,beyond,5.5,14.321
2762,bf,bf,5.96,16.283
2359,bff,bff,6.08,16.015
8368,bg,bg,4.67,9.217
8531,bgt,bgt,4.58,12.469
8865,bias,bias,4.31,17.278
1331,bible,bible,6.48,19.403
5736,biblical,biblical,5.3,19.299
6191,bibliography,bibliography,5.21,15.973
5936,bid,bid,5.26,1.192
8898,bieber,bieber,4.28,1.011
2605,bien,bien,6,14.428
1956,big,big,6.22,15.022
1537,bigger,bigger,6.38,13.981
2606,biggest,biggest,6,13.248
3798,biggie,biggie,5.7,14.033
7983,bij,bij,4.8,8.806
915,bike,bike,6.72,13.856
9413,bill,bill,3.64,1.77
7689,billboard,billboard,4.88,12.879
8809,billings,billings,4.36,13.667
156,billion,billion,7.56,16.679
9905,bills,bills,2.82,16.374
7254,billy,billy,4.98,11.516
7348,bin,bin,4.96,13.087
8489,bind,bind,4.6,17.843
7151,binding,binding,5.01,16.049
6122,bio,bio,5.22,12.982
2679,biography,biography,5.98,14.497
4577,biological,biological,5.54,14.458
1039,bird,bird,6.64,15.487
624,birds,birds,6.96,1.428
469,birth,birth,7.12,16.117
73,birthday,birthday,7.78,19.091
7615,bis,bis,4.9,8.864
7255,bisa,bisa,4.98,8.204
5737,bishop,bishop,5.3,16.194
7534,bishops,bishops,4.92,19.466
7594,bist,bist,4.92,8.123
8597,bit,bit,4.54,11.287
9732,bitch,bitch,3.14,18.071
9931,bitches,bitches,2.76,19.226
9181,bite,bite,3.98,17.201
6123,bits,bits,5.22,864
9814,bitter,bitter,3,12.454
6962,biz,biz,5.04,13.696
7607,bizarre,bizarre,4.92,15.414
7758,bk,bk,4.86,13.852
7690,black,black,4.88,18.366
1838,blackberry,blackberry,6.26,16.389
7058,blacks,blacks,5.02,16.474
8569,blade,blade,4.56,16.183
9023,blades,blades,4.16,16.751
8982,blah,blah,4.2,16.288
6963,blair,blair,5.04,12.115
9906,blame,blame,2.82,15.345
8718,blank,blank,4.44,8.369
1210,blanket,blanket,6.54,10.919
8960,blast,blast,4.22,21.217
6964,blaze,blaze,5.04,15.248
4667,blazing,blazing,5.52,20.627
9794,bled,bled,3.04,15.903
9959,bleed,bleed,2.69,15.731
9932,bleeding,bleeding,2.76,16.606
9637,bleeds,bleeds,3.32,1.812
3712,blend,blend,5.72,12.943
508,bless,bless,7.08,19.675
74,blessed,blessed,7.78,12.824
236,blessing,blessing,7.4,17.379
126,blessings,blessings,7.62,16.274
8630,blew,blew,4.52,14.741
10009,blind,blind,2.58,12.304
9603,blinded,blinded,3.37,15.771
9111,blinding,blinding,4.06,1.671
4874,bling,bling,5.48,21.019
5630,blink,blink,5.33,14.341
354,bliss,bliss,7.24,17.562
8053,blizzard,blizzard,4.78,20.926
9146,block,block,4.02,14.213
9414,blocked,blocked,3.64,14.535
8598,blocks,blocks,4.54,14.172
2542,blog,blog,6.02,14.068
4978,blogger,blogger,5.46,11.287
4771,bloggers,bloggers,5.5,12.976
3294,blogging,blogging,5.82,14.803
3212,blogs,blogs,5.84,17.654
2072,blonde,blonde,6.18,15.996
9291,blood,blood,3.82,17.922
9837,bloody,bloody,2.94,16.953
355,bloom,bloom,7.24,1.598
7616,bloomberg,bloomberg,4.9,15.152
8672,blow,blow,4.48,17.407
4466,blowin,blowin,5.56,13.118
6307,blowing,blowing,5.18,15.868
8834,blown,blown,4.34,1.394
8916,blows,blows,4.26,17.591
2982,blu-ray,blu-ray,5.9,13.887
3975,blue,blue,5.66,19.337
8570,blues,blues,4.56,19.811
8866,blunt,blunt,4.31,15.181
9070,blunts,blunts,4.11,12.551
7059,blvd,blvd,5.02,8.687
7535,bo,bo,4.92,1.066
8745,boa,boa,4.42,17.623
8107,board,board,4.76,15.194
6308,boards,boards,5.18,10.821
2360,boat,boat,6.08,14.824
1395,boats,boats,6.45,12.427
5082,bob,bob,5.44,11.634
4578,bobby,bobby,5.54,12.488
7430,boca,boca,4.94,13.763
8332,bodies,bodies,4.68,16.218
2763,body,body,5.96,10.294
6033,boeing,boeing,5.24,13.637
8277,boi,boi,4.7,1.165
3976,bold,bold,5.66,17.912
5281,boldface,boldface,5.4,1.088
8599,bom,bom,4.54,14.598
10181,bomb,bomb,1.96,12.771
10114,bombing,bombing,2.24,14.786
9881,bombs,bombs,2.86,22.679
4265,bon,bon,5.6,12.289
3886,bond,bond,5.68,16.714
6209,bonds,bonds,5.2,17.728
6965,bone,bone,5.04,11.241
6309,bones,bones,5.18,17.343
4467,bong,bong,5.56,20.619
5738,bonnie,bonnie,5.3,16.812
102,bonus,bonus,7.68,1.463
9344,boo,boo,3.74,17.591
2914,boobs,boobs,5.92,21.366
3128,boogie,boogie,5.86,19.379
356,book,book,7.24,12.048
1068,book's,book's,6.62,13.686
6774,booked,booked,5.08,15.497
321,books,books,7.28,13.254
696,bookstores,bookstores,6.88,14.518
6582,boom,boom,5.12,17.219
1332,boost,boost,6.48,12.329
7159,boot,boot,5,10.302
5176,booth,booth,5.42,11.082
2361,boots,boots,6.08,13.679
3628,booty,booty,5.74,19.463
5717,bop,bop,5.31,14.463
7617,border,border,4.9,1.488
7349,borders,borders,4.96,15.248
9415,bore,bore,3.64,15.877
9795,bored,bored,3.04,11.945
9861,boring,boring,2.9,11.473
780,born,born,6.82,16.499
6023,borne,borne,5.24,13.774
5843,borough,borough,5.28,10.698
8380,borrow,borrow,4.66,15.729
8333,borrowed,borrowed,4.68,14.348
7984,bosnia,bosnia,4.8,17.023
6966,bosnian,bosnian,5.04,13.395
9005,boss,boss,4.18,15.868
3537,boston,boston,5.76,14.923
2983,both,both,5.9,10.351
9058,bother,bother,4.12,16.243
9334,bothered,bothered,3.78,15.311
4185,bottle,bottle,5.62,13.384
4680,bottles,bottles,5.52,10.925
8719,bottom,bottom,4.44,13.273
1741,bought,bought,6.3,1.233
2242,boulevard,boulevard,6.12,12.558
1285,bounce,bounce,6.51,15.017
8490,bound,bound,4.6,13.553
8274,boundaries,boundaries,4.7,15.592
5739,boundary,boundary,5.3,1.165
8571,bout,bout,4.56,13.273
4772,bow,bow,5.5,14.321
5177,bowl,bowl,5.42,12.631
1890,bowling,bowling,6.24,15.059
4579,box,box,5.54,8.855
4681,boxes,boxes,5.52,12.162
8572,boxing,boxing,4.56,18.534
1891,boy,boy,6.24,12.867
1538,boyfriend,boyfriend,6.38,17.248
2142,boys,boys,6.16,12.349
5937,boyz,boyz,5.26,19.568
4080,bra,bra,5.64,17.815
5740,brad,brad,5.3,11.294
4580,bradley,bradley,5.54,9.941
1255,brain,brain,6.52,15.285
972,brains,brains,6.69,14.754
4682,branch,branch,5.52,11.471
1633,branches,branches,6.35,11.998
4356,brand,brand,5.58,11.796
3538,brands,brands,5.76,10.984
4266,brasil,brasil,5.6,17.496
9430,brat,brat,3.62,17.484
566,brave,brave,7.02,12.856
2293,brazil,brazil,6.1,1.359
2414,brazilian,brazilian,6.06,14.486
7618,brb,brb,4.9,11.824
1636,bread,bread,6.34,17.567
6967,break,break,5.04,18.178
9849,breakdown,breakdown,2.94,13.591
725,breakfast,breakfast,6.86,1.143
8961,breakin,breakin,4.22,14.748
9182,breaking,breaking,3.98,14.913
8746,breaks,breaks,4.42,18.305
1957,breast,breast,6.22,14.469
1539,breath,breath,6.38,15.765
1787,breathe,breathe,6.28,15.258
1839,breathing,breathing,6.26,12.257
4752,breed,breed,5.51,15.428
697,breeze,breeze,6.88,13.346
2607,brew,brew,6,1.633
5741,brian,brian,5.3,14.321
6310,brick,brick,5.18,12.237
4979,bricks,bricks,5.46,10.919
322,bride,bride,7.28,15.391
978,bridegroom,bridegroom,6.68,14.205
1788,bridegroom's,bridegroom's,6.28,16.418
3129,bridge,bridge,5.86,13.999
2471,bridges,bridges,6.04,15.133
4773,brief,brief,5.5,12.817
5451,briefing,briefing,5.36,12.578
6210,briefly,briefly,5.2,16.036
6124,briefs,briefs,5.22,0.91
127,bright,bright,7.62,11.409
451,brighter,brighter,7.14,1.325
103,brilliant,brilliant,7.68,16.218
5742,bring,bring,5.3,9.949
5633,bringin,bringin,5.33,14.774
2485,bringing,bringing,6.04,11.421
3368,brings,brings,5.8,11.066
3462,britain,britain,5.78,18.767
3977,british,british,5.66,16.977
5452,britney,britney,5.36,16.753
1958,bro,bro,6.22,12.982
4357,broad,broad,5.58,11.082
2680,broadcast,broadcast,5.98,12.856
3887,broadcasting,broadcasting,5.68,13.161
4358,broader,broader,5.58,12.631
7679,broads,broads,4.9,19.267
1586,broadway,broadway,6.36,13.516
10034,broke,broke,2.54,12.811
9808,broken,broken,3.02,14.068
8573,broker,broker,4.56,1.567
8871,brokerage,brokerage,4.3,18.323
8770,brokers,brokers,4.4,12.936
6968,bronx,bronx,5.04,1.261
6775,bronxville,bronxville,5.08,8.999
2608,brook,brook,6,16.413
4581,brooklyn,brooklyn,5.54,14.737
3130,brooks,brooks,5.86,13.704
5557,bros,bros,5.34,15.334
6649,brotha,brotha,5.1,16.143
379,brother,brother,7.22,12.337
3131,brother-in-law,brother-in-law,5.86,15.254
600,brothers,brothers,6.98,14.497
2984,brought,brought,5.9,13.286
5083,brown,brown,5.44,12.803
2192,browser,browser,6.14,10.304
6492,bruce,bruce,5.14,12.938
8491,bruh,bruh,4.6,11.952
9733,bruise,bruise,3.14,12.124
9862,bruised,bruised,2.9,17.525
1686,brunch,brunch,6.32,12.848
4582,brunswick,brunswick,5.54,1.328
4468,brush,brush,5.56,17.043
9998,brutal,brutal,2.6,2.08
6673,bryan,bryan,5.1,14.463
8673,bs,bs,4.48,13.285
7691,bt,bt,4.88,5.584
7256,btw,btw,4.98,11.692
7060,bu,bu,5.02,11.516
8108,buat,buat,4.76,8.935
2015,bubble,bubble,6.2,15.518
3213,buck,buck,5.84,17.769
