Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8278,c,c,4.7,8.391
6585,c-after,c-after,5.12,8.722
6778,c-included,c-included,5.08,1.085
8533,c-includes,c-includes,4.58,12.792
7063,c-net,c-net,5.02,13.323
7536,c'est,c'est,4.92,12.428
6584,c'mon,c'mon,5.12,13.498
6586,c/o,c/o,5.12,11.183
7985,c1,c1,4.8,833
6676,ca,ca,5.1,13.439
6211,cab,cab,5.2,15.253
3889,cabinet,cabinet,5.68,11.328
4082,cable,cable,5.64,15.221
7160,cada,cada,5,12.289
3629,cadillac,cadillac,5.74,18.715
823,cafe,cafe,6.78,14.469
3369,caffeine,caffeine,5.8,21.571
9564,cage,cage,3.44,19.776
142,cake,cake,7.58,11.082
157,cakes,cakes,7.56,14.591
1781,calcium,calcium,6.29,13.844
5259,calculated,calculated,5.42,13.966
5084,calculation,calculation,5.44,1.198
4561,calculations,calculations,5.55,15.951
5743,calendar,calendar,5.3,11.294
6869,cali,cali,5.06,16.088
5642,calif,calif,5.32,13.316
2362,california,california,6.08,15.097
3630,call,call,5.74,14.401
6493,calle,calle,5.14,10.152
4267,called,called,5.6,11.066
6564,callin,callin,5.12,13.328
3631,calling,calling,5.74,12.586
5179,calls,calls,5.42,10.319
1587,calm,calm,6.36,16.005
6494,calor,calor,5.14,15.651
8963,calories,calories,4.22,16.817
4980,cam,cam,5.46,11.817
5829,cama,cama,5.29,13.844
2609,cambridge,cambridge,6,14.846
5180,came,came,5.42,14.155
803,camera,camera,6.8,12.936
1069,cameras,cameras,6.62,12.919
5370,camino,camino,5.38,14.412
1840,camp,camp,6.26,15.361
5558,campaign,campaign,5.34,15.467
7619,campaigns,campaigns,4.9,19.299
7431,campbell,campbell,4.94,11.678
4469,camps,camps,5.56,16.801
2486,campus,campus,6.04,16.157
4188,can,can,5.62,1.276
9571,can't,can't,3.42,9.708
6779,canaan,canaan,5.08,12.591
2681,canada,canada,5.98,15.318
3214,canadian,canadian,5.84,18.556
3713,canal,canal,5.72,12.623
9675,canceled,canceled,3.24,15.722
9877,cancelled,cancelled,2.88,11.542
10215,cancer,cancer,1.54,1.073
5559,candidate,candidate,5.34,10.994
6311,candidates,candidates,5.18,14.803
943,candle,candle,6.71,15.704
1012,candles,candles,6.67,14.923
167,candy,candy,7.52,14.879
7914,cane,cane,4.82,17.922
9638,cannot,cannot,3.32,9.781
4875,canon,canon,5.48,13.438
9521,cant,cant,3.48,1.111
4470,cap,cap,5.56,9.293
881,capable,capable,6.74,16.759
4775,capacity,capacity,5.5,14.178
6312,cape,cape,5.18,17.577
2915,capital,capital,5.92,12.428
6389,capitalism,capitalism,5.16,24.524
7838,capitalist,capitalist,4.84,23.418
5453,capitol,capitol,5.36,12.898
5454,caps,caps,5.36,10.254
1105,captain,captain,6.6,16.288
4981,caption,caption,5.46,8.381
9006,capture,capture,4.18,16.986
9686,captured,captured,3.22,16.073
916,car,car,6.72,2.1
4360,cara,cara,5.58,12.469
7161,carbon,carbon,5,14.286
3714,card,card,5.72,11.256
9109,cardiac,cardiac,4.06,17.249
