Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8235,d,d,4.72,9.044
7840,d1,d1,4.84,12.349
7262,d8,d8,4.98,11.865
7541,da,da,4.92,1.122
8649,daar,daar,4.51,13.559
569,dad,dad,7.02,21.236
586,dad's,dad's,7,13.851
570,daddy,daddy,7.02,17.201
625,dads,dads,6.96,14.702
8179,dag,dag,4.74,13.219
9199,dagger,dagger,3.96,13.242
8180,dah,dah,4.74,12.423
5288,daily,daily,5.4,10.302
5948,dale,dale,5.26,1.192
6216,dallas,dallas,5.2,15.908
7841,dam,dam,4.84,12.349
10011,damage,damage,2.58,14.995
10056,damaged,damaged,2.48,10.349
9832,damages,damages,2.96,13.696
4592,dame,dame,5.54,13.734
9612,dammit,dammit,3.36,1.793
9822,damn,damn,2.98,16.224
9671,damned,damned,3.26,19.672
7357,dan,dan,4.96,7.548
5289,dana,dana,5.4,10.498
262,dance,dance,7.36,14.394
376,danced,danced,7.22,12.122
727,dancer,dancer,6.86,15.388
952,dancers,dancers,6.7,16.067
225,dances,dances,7.42,1.295
511,dancing,dancing,7.08,16.142
8812,dang,dang,4.36,14.251
9909,danger,danger,2.82,16.374
10070,dangerous,dangerous,2.44,14.591
4593,daniel,daniel,5.54,1.073
8057,dann,dann,4.78,11.657
4372,danny,danny,5.58,1.012
7595,dans,dans,4.92,11.335
8493,dar,dar,4.6,12.122
6217,dare,dare,5.2,14.569
9293,dark,dark,3.82,14.097
9460,darkened,darkened,3.57,1.599
9213,darker,darker,3.94,18.996
9417,darkest,darkest,3.64,21.166
9294,darkness,darkness,3.82,18.702
381,darling,darling,7.22,13.138
8983,darn,darn,4.2,15.119
7263,dartmouth,dartmouth,4.98,16.224
7165,das,das,5,9.689
5463,dash,dash,5.36,14.813
7695,dass,dass,4.88,12.061
8112,dat,dat,4.76,12.048
3802,data,data,5.7,10.738
3896,database,database,5.68,13.619
1688,date,date,6.32,16.092
7166,dated,dated,5,16.903
1446,dates,dates,6.42,1.295
1486,dating,dating,6.4,14.846
7842,dats,dats,4.84,12.513
548,daughter,daughter,7.04,18.066
2991,daughter-in-law,daughter-in-law,5.9,15.551
263,daughters,daughters,7.36,12.249
5757,dave,dave,5.3,14.033
4784,david,david,5.5,11.473
6686,davis,davis,5.1,11.294
7964,dawg,dawg,4.82,1.603
1216,dawn,dawn,6.54,13.881
2346,dawning,dawning,6.08,14.415
1897,day,day,6.24,13.637
754,daylight,daylight,6.84,14.049
3545,days,days,5.76,12.382
8482,daze,daze,4.61,14.407
6131,dc,dc,5.22,13.596
7920,de,de,4.82,8.497
10171,dead,dead,2,13.248
9398,deadline,deadline,3.66,11.537
9871,deadly,deadly,2.9,18.171
9970,deaf,deaf,2.67,13.262
1689,deal,deal,6.32,10.774
8236,dealer,dealer,4.72,17.961
8181,dealers,dealers,4.74,14.957
4594,dealing,dealing,5.54,11.643
1300,deals,deals,6.5,15.811
6687,dealt,dealt,5.1,12.495
5850,dean,dean,5.28,12.784
656,dear,dear,6.94,1.544
490,dearest,dearest,7.1,12.817
1217,dearly,dearly,6.54,12.488
10216,death,death,1.54,12.811
10209,deaths,deaths,1.64,11.386
7438,debate,debate,4.94,15.174
6596,debating,debating,5.12,15.471
6324,deborah,deborah,5.18,14.384
9866,debt,debt,2.9,16.568
2199,debut,debut,6.14,12.618
5379,dec,dec,5.38,13.536
6218,decade,decade,5.2,1.069
7843,decades,decades,4.84,13.756
9770,decay,decay,3.08,14.119
9533,deceive,deceive,3.47,20.114
1644,december,december,6.34,18.473
1966,decent,decent,6.22,17.058
9592,deception,deception,3.39,18.007
3224,decide,decide,5.84,12.513
2842,decided,decided,5.94,13.911
7542,decir,decir,4.92,9.655
6876,decision,decision,5.06,14.486
4373,decisions,decisions,5.58,14.155
5096,deck,deck,5.44,13.874
2685,declaration,declaration,5.98,12.204
4445,declare,declare,5.57,13.472
5851,declared,declared,5.28,13.407
9771,decline,decline,3.08,12.262
9720,declined,declined,3.16,15.434
9051,decrease,decrease,4.12,15.523
9450,decreased,decreased,3.58,13.966
785,dedicated,dedicated,6.82,1.32
1021,dedication,dedication,6.66,13.644
6973,dee,dee,5.04,11.241
4335,deed,deed,5.6,15.556
2823,deeds,deeds,5.96,13.202
5380,deemed,deemed,5.38,14.412
3637,deep,deep,5.74,13.969
3191,deeper,deeper,5.86,13.385
5648,deepest,deepest,5.32,1.449
3546,deeply,deeply,5.76,1.598
7358,def,def,4.96,9.467
8984,default,default,4.2,14.708
9699,defeat,defeat,3.2,19.483
9939,defeated,defeated,2.74,16.138
