Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8238,e,e,4.72,9.044
1184,e-mail,e-mail,6.56,12.316
5294,each,each,5.4,9.897
1220,eager,eager,6.54,13.126
2083,eagle,eagle,6.18,18.811
2147,eagles,eagles,6.16,14.479
4600,ear,ear,5.54,12.324
5099,earl,earl,5.44,1.091
5295,earlier,earlier,5.4,12.289
3809,earliest,earliest,5.7,15.419
3996,early,early,5.66,1.239
183,earn,earn,7.5,13.439
512,earned,earned,7.08,11.753
657,earning,earning,6.94,15.308
170,earnings,earnings,7.52,14.177
658,earns,earns,6.94,10.956
1750,earrings,earrings,6.3,15.682
3720,ears,ears,5.72,12.461
1403,earth,earth,6.44,18.201
10186,earthquake,earthquake,1.9,11.995
1259,ease,ease,6.52,15.939
158,easier,easier,7.56,11.457
572,easily,easily,7.02,16.349
3303,east,east,5.82,12.887
702,easter,easter,6.88,1.698
3551,eastern,eastern,5.76,14.223
6197,eastside,eastside,5.2,13.991
857,easy,easy,6.76,1.598
549,eat,eat,7.04,14.563
2247,eat-in,eat-in,6.12,11.542
1302,eaten,eaten,6.5,12.164
3304,eatin,eatin,5.82,15.739
303,eating,eating,7.3,17.757
1404,eats,eats,6.44,16.433
3473,ebay,ebay,5.78,17.761
2689,ebook,ebook,5.98,14.356
2844,echo,echo,5.94,12.357
2905,echoes,echoes,5.94,13.135
7768,echt,echt,4.86,11.782
5466,economic,economic,5.36,16.874
8115,economics,economics,4.76,14.223
6222,economist,economist,5.2,15.119
7546,economists,economists,4.92,14.824
8792,economy,economy,4.38,16.646
400,ecstasy,ecstasy,7.2,17.318
6420,ed,ed,5.16,12.014
6499,eddie,eddie,5.14,14.144
1287,eden,eden,6.51,15.562
7267,edge,edge,4.98,12.534
6651,edges,edges,5.1,15.332
4280,edinburgh,edinburgh,5.6,13.851
1902,edison,edison,6.24,1.135
5467,edit,edit,5.36,11.739
6041,edited,edited,5.24,1.135
6975,edith,edith,5.04,11.773
5759,editing,editing,5.3,1.233
4691,edition,edition,5.52,11.292
4787,editions,editions,5.5,12.976
4097,editor,editor,5.64,14.394
5571,editorial,editorial,5.34,13.644
5650,editorials,editorials,5.32,10.962
5100,editors,editors,5.44,11.808
7990,eds,eds,4.8,11.066
318,educated,educated,7.29,1.307
703,education,education,6.88,16.117
1491,educational,educational,6.4,14.846
5959,edward,edward,5.26,12.423
7268,edwards,edwards,4.98,1.237
7624,edwin,edwin,4.9,13.887
7269,een,een,4.98,11.337
8852,eff,eff,4.32,15.706
6421,effect,effect,5.16,10.947
858,effective,effective,6.76,12.867
1405,effectively,effectively,6.44,16.056
829,effectiveness,effectiveness,6.78,12.664
4788,effects,effects,5.5,14.743
1135,efficiency,efficiency,6.59,13.681
821,efficient,efficient,6.8,15.135
8793,effing,effing,4.38,13.981
3144,effort,effort,5.86,16.289
4281,efforts,efforts,5.6,14.569
7744,eg,eg,4.88,13.328
2690,egg,egg,5.98,14.356
2553,eggs,eggs,6.02,19.948
9093,ego,ego,4.08,15.524
1846,egypt,egypt,6.26,11.572
3474,egyptian,egyptian,5.78,15.556
8605,eh,eh,4.54,11.988
8265,ei,ei,4.71,8.898
5760,eight,eight,5.3,12.817
1903,eighteen,eighteen,6.24,14.647
2614,eighteenth,eighteenth,6,14.142
6879,eighth,eighth,5.06,11.141
5468,eileen,eileen,5.36,12.081
7270,ein,ein,4.98,7.951
7271,eine,eine,4.98,9.792
8341,einen,einen,4.68,11.147
6690,either,either,5.1,7.071
7991,el,el,4.8,11.249
7625,ela,ela,4.9,10.738
4968,elaborate,elaborate,5.47,16.596
6042,elaine,elaine,5.24,12.867
1321,elder,elder,6.49,1.309
7702,elderly,elderly,4.88,17.219
7442,ele,ele,4.94,10.577
6601,eleanor,eleanor,5.12,9.823
2302,elected,elected,6.1,14.178
6327,election,election,5.18,13.506
8676,elections,elections,4.48,15.285
3997,electric,electric,5.66,15.467
4601,electrical,electrical,5.54,11.104
2303,electricity,electricity,6.1,16.194
4484,electron,electron,5.56,11.457
1492,electronic,electronic,6.4,13.248
1335,electronics,electronics,6.48,11.993
626,elegant,elegant,6.96,19.268
3227,element,element,5.84,10.373
3810,elementary,elementary,5.7,1.359
4888,elements,elements,5.48,15.285
822,elevated,elevated,6.8,11.899
2845,elevation,elevation,5.94,15.174
5761,elevator,elevator,5.3,13.887
4282,eleven,eleven,5.6,10.302
1023,eligible,eligible,6.66,12.715
9295,eliminate,eliminate,3.82,1.746
9598,eliminated,eliminated,3.38,1.689
4164,elite,elite,5.64,21.308
2202,elizabeth,elizabeth,6.14,17.263
7597,elke,elke,4.92,9.539
5441,ella,ella,5.37,16.033
4485,elle,elle,5.56,10.333
6422,ellen,ellen,5.16,14.049
5960,elliott,elliott,5.26,9.435
6043,ellis,ellis,5.24,9.381
8116,else,else,4.76,8.935
7769,elsewhere,elsewhere,4.86,9.478
2349,elvis,elvis,6.08,19.878
8061,em,em,4.78,1.148
8171,em,em,4.74,9.858
704,email,email,6.88,13.192
1221,emails,emails,6.54,11.817
5296,embassy,embassy,5.4,13.401
1944,embrace,embrace,6.22,18.959
3899,emerged,emerged,5.68,9.355
9783,emergency,emergency,3.06,17.775
1794,emerging,emerging,6.28,9.697
5651,emeritus,emeritus,5.32,16.468
4602,emily,emily,5.54,11.287
7819,eminem,eminem,4.86,19.685
8537,emo,emo,4.58,13.864
3552,emotion,emotion,5.76,1.546
8751,emotional,emotional,4.42,17.623
2084,emotions,emotions,6.18,17.106
5537,emperor,emperor,5.35,20.576
3900,emphasis,emphasis,5.68,9.988
3305,emphasized,emphasized,5.82,14.384
5855,empire,empire,5.28,18.299
5357,empirical,empirical,5.39,14.835
1646,employ,employ,6.34,1.423
326,employed,employed,7.28,13.559
3641,employee,employee,5.74,1.192
4098,employees,employees,5.64,11.205
3774,employer,employer,5.71,1.72
4692,employers,employers,5.52,13.738
1598,employment,employment,6.36,17.815
9620,emptiness,emptiness,3.35,19.731
9467,empty,empty,3.56,16.308
7847,en,en,4.84,10.568
2134,enable,enable,6.16,11.963
1527,enabled,enabled,6.39,13.817
1185,encore,encore,6.56,1.402
6044,encounter,encounter,5.24,17.792
4889,encountered,encountered,5.48,13.285
685,encourage,encourage,6.9,16.812
603,encouraged,encouraged,6.98,1.237
382,encouraging,encouraging,7.22,15.556
8816,end,end,4.36,17.351
9276,ended,ended,3.84,14.479
9149,ending,ending,4.02,14.213
5652,endless,endless,5.32,18.455
6500,endlessly,endlessly,5.14,16.904
3642,endorsed,endorsed,5.74,14.115
3306,endowment,endowment,5.82,15.077
9327,ends,ends,3.78,14.886
10072,enemies,enemies,2.44,1.473
9981,enemy,enemy,2.64,13.211
383,energy,energy,7.22,12.982
9078,enforcement,enforcement,4.1,14.178
2019,engage,engage,6.2,13.401
2148,engaged,engaged,6.16,19.625
3811,engine,engine,5.7,1.233
1751,engineer,engineer,6.3,11.824
3145,engineering,engineering,5.86,14.848
