Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8422,f,f,4.64,14.675
7994,fa,fa,4.8,8.571
2306,fab,fab,6.1,15.152
2692,fabric,fabric,5.98,10.971
250,fabulous,fabulous,7.38,15.372
2251,face,face,6.12,11.718
2371,facebook,facebook,6.08,19.361
6046,faced,faced,5.24,12.382
2024,faces,faces,6.2,14.569
3558,facilities,facilities,5.76,14.507
5961,facility,facility,5.26,15.884
5962,facing,facing,5.26,11.031
2999,fact,fact,5.9,13.286
6693,factor,factor,5.1,789
6503,factors,factors,5.14,9.037
6790,factory,factory,5.08,14.961
2427,facts,facts,6.06,10.956
4791,faculty,faculty,5.5,14.321
9123,fade,fade,4.04,13.064
8839,faded,faded,4.34,13.188
9309,fades,fades,3.81,10.762
9110,fading,fading,4.06,1.265
9709,faggot,faggot,3.18,19.763
10183,fail,fail,1.96,10.294
10195,failed,failed,1.84,9.971
10046,failing,failing,2.52,12.656
10156,fails,fails,2.06,12.022
10157,failure,failure,2.06,12.191
628,fair,fair,6.96,1.261
2745,faire,faire,5.98,15.068
4490,fairfield,fairfield,5.56,9.723
1797,fairly,fairly,6.28,11.613
563,fairy,fairy,7.02,14.789
6750,fait,fait,5.08,12.175
514,faith,faith,7.08,14.405
177,faithful,faithful,7.51,13.248
9867,fake,fake,2.9,12.495
9130,fall,fall,4.04,19.687
9504,fallen,fallen,3.52,14.177
9100,fallin,fallin,4.08,16.517
9662,falling,falling,3.28,15.391
9441,falls,falls,3.6,18.952
6791,falta,falta,5.08,10.467
5299,fam,fam,5.4,16.162
1303,fame,fame,6.5,17.409
1406,familiar,familiar,6.44,12.643
163,families,families,7.54,12.811
90,family,family,7.72,13.099
1337,family's,family's,6.48,20.627
980,famous,famous,6.68,20.045
1024,fan,fan,6.66,10.422
629,fancy,fancy,6.96,13.696
573,fans,fans,7.02,12.534
260,fantasies,fantasies,7.36,13.898
75,fantastic,fantastic,7.78,10.934
213,fantasy,fantasy,7.44,16.183
8794,far,far,4.38,1.817
5963,fare,fare,5.26,1.688
9261,farewell,farewell,3.86,21.286
1971,farm,farm,6.22,15.817
705,farmer,farmer,6.88,16.243
1650,farmers,farmers,6.34,11.886
1469,farming,farming,6.42,15.275
1599,farms,farms,6.36,15.086
6504,farther,farther,5.14,14.144
1600,fashion,fashion,6.36,18.043
1407,fast,fast,6.44,12.316
1546,faster,faster,6.38,13.536
9679,fat,fat,3.24,18.245
10199,fatal,fatal,1.8,15.253
8065,fate,fate,4.78,12.664
531,father,father,7.06,17.427
2693,father-in-law,father-in-law,5.98,18.125
887,father's,father's,6.74,13.822
787,fathers,fathers,6.82,1.826
9557,fault,fault,3.44,12.961
2771,fav,fav,5.96,19.479
2493,fave,fave,6.04,14.702
2617,favor,favor,6,20.603
264,favorable,favorable,7.36,15.086
669,favored,favored,6.92,13.529
550,favorite,favorite,7.04,16.532
1112,favorited,favorited,6.6,17.613
