Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7447,g,g,4.94,6.197
8384,ga,ga,4.66,8.715
7966,gaan,gaan,4.82,14.815
8589,gaat,gaat,4.55,12.912
3907,gaga,gaga,5.68,18.455
8607,gah,gah,4.54,13.734
6507,gail,gail,5.14,11.782
1497,gain,gain,6.4,15.386
1409,gained,gained,6.44,15.928
789,gains,gains,6.82,14.803
8635,gak,gak,4.52,13.285
3872,gal,gal,5.69,1.812
924,gallery,gallery,6.72,12.784
9029,gambling,gambling,4.16,19.935
671,game,game,6.92,16.015
291,games,games,7.32,12.196
1452,gaming,gaming,6.42,18.745
6885,ganas,ganas,5.06,10.768
9297,gang,gang,3.82,21.824
9574,gangsta,gangsta,3.42,18.962
9685,gangstas,gangstas,3.23,17.963
9729,gangster,gangster,3.14,2.189
8427,ganz,ganz,4.64,13.211
7550,gap,gap,4.92,8.999
6051,garage,garage,5.24,12.048
9712,garbage,garbage,3.18,16.249
6508,garcia,garcia,5.14,8.084
385,garden,garden,7.22,1.183
659,gardening,gardening,6.94,12.683
360,gardens,gardens,7.24,13.486
2254,garlic,garlic,6.12,16.616
6695,gary,gary,5.1,9.949
8119,gas,gas,4.76,16.483
8461,gasoline,gasoline,4.62,14.553
8068,gat,gat,4.78,14.609
6331,gate,gate,5.18,11.008
5864,gates,gates,5.28,11.436
2852,gather,gather,5.94,10.768
2700,gathered,gathered,5.98,13.169
1338,gathering,gathering,6.48,12.329
8694,gats,gats,4.46,16.686
1849,gave,gave,6.26,12.906
8726,gay,gay,4.44,21.774
8727,gaza,gaza,4.44,13.874
2429,gaze,gaze,6.06,14.902
6886,gb,gb,5.06,10.382
8120,gd,gd,4.76,8.221
5574,gear,gear,5.34,12.875
5007,gears,gears,5.46,8.855
4606,gee,gee,5.54,12.488
8287,geef,geef,4.7,12.164
5575,geek,geek,5.34,1.891
7896,geen,geen,4.83,14.923
7448,geez,geez,4.94,15.308
8447,geht,geht,4.63,1.318
7820,geld,geld,4.86,15.943
7449,gen,gen,4.94,10.956
3437,gender,gender,5.8,12.413
5199,gene,gene,5.42,9.708
5657,general,general,5.32,11.328
6052,generally,generally,5.24,1.135
2204,generate,generate,6.14,11.608
2973,generated,generated,5.92,12.884
4799,generation,generation,5.5,11.995
1498,generations,generations,6.4,13.553
266,generosity,generosity,7.36,12.739
305,generous,generous,7.3,14.743
4165,genes,genes,5.64,10.092
4800,genetic,genetic,5.5,12.495
140,genius,genius,7.6,12.454
6509,gente,gente,5.14,9.691
361,gentle,gentle,7.24,9.806
649,gentleman,gentleman,6.96,17.254
589,gentlemen,gentlemen,7,14.289
319,gently,gently,7.29,12.748
425,genuine,genuine,7.18,13.805
2473,geographical,geographical,6.04,14.572
2906,geography,geography,5.94,14.202
5967,george,george,5.26,10.654
5471,georgetown,georgetown,5.36,14.675
5104,georgia,georgia,5.44,12.803
7551,gerald,gerald,4.92,1.085
5576,german,german,5.34,1.394
3233,germans,germans,5.84,17.998
2853,germany,germany,5.94,15.703
2933,get,get,5.92,1.085
7044,getcha,getcha,5.02,15.744
3234,gets,gets,5.84,12.993
7082,gettin,gettin,5.02,13.775
3908,getting,getting,5.68,11.856
3649,gf,gf,5.74,13.063
9559,ghetto,ghetto,3.44,16.922
9419,ghost,ghost,3.64,20.777
9287,ghosts,ghosts,3.84,19.827
5577,giant,giant,5.34,11.886
5578,giants,giants,5.34,1.493
8342,gibt,gibt,4.68,12.362
91,gift,gift,7.72,13.407
160,gifts,gifts,7.56,19.395
2775,gig,gig,5.96,13.991
6795,gilbert,gilbert,5.08,9.864
8069,gimme,gimme,4.78,12.824
8036,gimmie,gimmie,4.8,15.809
3002,gin,gin,5.9,18.098
3560,ginger,ginger,5.76,17.677
590,girl,girl,7,11.606
551,girlfriend,girlfriend,7.04,16.283
660,girls,girls,6.94,14.626
7995,giuliani,giuliani,4.8,17.957
1224,give,give,6.54,17.286
1548,giveaway,giveaway,6.38,1.783
3650,given,given,5.74,14.401
1304,gives,gives,6.5,12.817
5442,givin,givin,5.37,12.532
604,giving,giving,6.98,11.516
193,glad,glad,7.48,15.151
344,gladly,gladly,7.26,11.214
2622,glance,glance,6,1.178
3561,glass,glass,5.76,12.216
4801,glasses,glasses,5.5,12.976
832,glee,glee,6.78,18.658
5762,glen,glen,5.3,12.495
5968,glenn,glenn,5.26,11.031
8070,gli,gli,4.78,975
2753,glimpse,glimpse,5.98,11.701
2623,global,global,6,14.846
1800,globe,globe,6.28,14.291
8776,glock,glock,4.4,18.406
8739,glocks,glocks,4.44,15.697
9469,gloom,gloom,3.56,21.205
5472,gloria,gloria,5.36,14.675
87,glorious,glorious,7.74,13.969
185,glory,glory,7.5,16.067
4002,glove,glove,5.66,12.715
327,glow,glow,7.28,12.943
483,glowing,glowing,7.1,14.324
6756,glue,glue,5.08,1.382
7930,gm,gm,4.82,10.821
1499,gmail,gmail,6.4,15.908
4607,go,go,5.54,11.817
574,goal,goal,7.02,12.204
605,goals,goals,6.98,12.036
328,god,god,7.28,19.277
3384,god's,god's,5.8,22.497
9255,goddamn,goddamn,3.88,21.759
1850,gods,gods,6.26,19.146
8165,goed,goed,4.76,1.011
5969,goes,goes,5.26,11.214
6053,goin,goin,5.24,13.334
5200,going,going,5.42,11.622
161,gold,gold,7.56,11.095
6224,goldberg,goldberg,5.2,14.983
306,golden,golden,7.3,13.439
3724,goldman,goldman,5.72,14.003
6696,goldstein,goldstein,5.1,1.165
4493,golf,golf,5.56,2.032
8576,gon,gon,4.56,1.198
8186,gona,gona,4.74,10.844
9575,gone,gone,3.42,1.739
7771,gonna,gonna,4.86,16.164
8669,goo,goo,4.49,15.859
408,good,good,7.2,14.569
9377,goodbye,goodbye,3.7,18.323
9150,goodbyes,goodbyes,4.02,19.005
2430,goodman,goodman,6.06,11.323
983,goodmorning,goodmorning,6.68,19.213
145,goodness,goodness,7.58,13.716
1153,goodnight,goodnight,6.58,12.469
1373,goods,goods,6.46,11.466
409,google,google,7.2,13.093
8854,gop,gop,4.32,12.196
7552,gorbachev,gorbachev,4.92,15.628
6426,gordon,gordon,5.16,12.349
8874,gore,gore,4.3,18.654
226,gorgeous,gorgeous,7.42,19.597
7172,gosh,gosh,5,1.069
4568,gospel,gospel,5.55,21.202
9454,gossip,gossip,3.58,19.282
4289,got,got,5.6,14.569
8522,gots,gots,4.59,14.849
7083,gotta,gotta,5.02,11.865
5201,gotten,gotten,5.42,13.864
8462,gov,gov,4.62,14.968
5924,governed,governed,5.27,17.414
7173,governing,governing,5,15.779
8428,government,government,4.64,16.383
8241,government's,government's,4.72,17.266
8463,governments,governments,4.62,1.701
6510,governor,governor,5.14,11.608
6332,governor's,governor's,5.18,15.477
8121,governors,governors,4.76,1.546
8659,govt,govt,4.5,18.654
4003,gps,gps,5.66,10.022
1851,gr8,gr8,6.26,17.591
6887,grab,grab,5.06,13.311
8678,grabbed,grabbed,4.48,17.052
728,grace,grace,6.86,15.254
2776,gracias,gracias,5.96,15.381
1907,grad,grad,6.24,12.867
3817,grade,grade,5.7,10.152
3385,gradually,gradually,5.8,12.122
515,graduate,graduate,7.08,12.428
386,graduated,graduated,7.22,12.664
3909,graham,graham,5.68,11.507
3235,grain,grain,5.84,12.675
3236,grammar,grammar,5.84,14.337
1908,grammy,grammy,6.24,13.786
2701,grammys,grammys,5.98,14.497
