Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7996,h,h,4.8,8.806
2624,ha,ha,6,15.649
7367,haar,haar,4.96,11.058
7851,hab,hab,4.84,9.337
7772,haben,haben,4.86,13.704
4898,habit,habit,5.48,16.066
4345,habits,habits,5.58,14.852
4609,hablar,hablar,5.54,10.919
7275,hace,hace,4.98,8.204
7368,hacer,hacer,4.96,8.071
8187,had,had,4.74,8.762
8636,hadn,hadn,4.52,11.471
8876,hadn't,hadn't,4.3,12.164
6479,haffi,haffi,5.14,12.076
2936,hah,hah,5.92,1.664
120,haha,haha,7.64,13.815
307,hahah,hahah,7.3,15.419
40,hahaha,hahaha,7.94,15.572
362,hahahah,hahahah,7.24,2.036
60,hahahaha,hahahaha,7.86,17.025
96,hahahahaha,hahahahaha,7.7,1.359
3388,hai,hai,5.8,14.983
7369,hail,hail,4.96,18.401
2499,hair,hair,6.04,13.991
2026,haircut,haircut,6.2,15.119
9114,haiti,haiti,4.06,22.077
8497,half,half,4.6,10.102
4802,halfway,halfway,5.5,10.351
5475,hall,hall,5.36,12.081
942,hallelujah,hallelujah,6.71,19.896
1910,halloween,halloween,6.24,20.057
4970,halls,halls,5.47,10.821
2027,halo,halo,6.2,1.807
4005,ham,ham,5.66,19.018
4109,hamilton,hamilton,5.64,11.739
8695,hammer,hammer,4.46,15.414
4494,hampshire,hampshire,5.56,951
5579,hampton,hampton,5.34,13.342
7508,han,han,4.94,11.256
3004,hand,hand,5.9,10.738
3615,handed,handed,5.76,13.774
4110,handful,handful,5.64,12.578
4610,handle,handle,5.54,10.539
4803,handled,handled,5.5,9.313
5865,handling,handling,5.28,10.887
2625,hands,hands,6,14.846
164,handsome,handsome,7.54,12.488
1698,handy,handy,6.32,11.683
9263,hang,hang,3.86,1.325
6022,hangin,hangin,5.25,17.564
9298,hanging,hanging,3.82,17.225
9855,hangover,hangover,2.92,17.124
9341,hangs,hangs,3.76,16.774
5866,hannah,hannah,5.28,14.291
5867,happen,happen,5.28,10.506
7084,happened,happened,5.02,11.865
3725,happening,happening,5.72,1.011
6226,happens,happens,5.2,12.122
1,happiness,happiness,8.44,9.723
3,happy,happy,8.3,9.949
8343,har,har,4.68,13.768
2431,harbor,harbor,6.06,14.486
9081,hard,hard,4.1,13.887
6333,hardcore,hardcore,5.18,20.671
8728,harder,harder,4.44,1.473
9299,hardest,hardest,3.82,16.249
9186,hardly,hardly,3.98,12.534
6428,hari,hari,5.16,15.301
6981,harlem,harlem,5.04,14.978
10037,harm,harm,2.54,14.458
591,harmony,harmony,7,14.434
5580,harold,harold,5.34,11.537
5868,harriet,harriet,5.28,13.856
7852,harris,harris,4.84,8.889
6512,harrison,harrison,5.14,11.068
6054,harry,harry,5.24,12.545
6796,hart,hart,5.08,11.753
6142,hartford,hartford,5.22,11.301
2937,harvard,harvard,5.92,17.825
5869,harvey,harvey,5.28,14.434
6334,has,has,5.18,15.477
9151,hasn't,hasn't,4.02,11.865
7553,hast,hast,4.92,13.377
6335,hasta,hasta,5.18,10.437
3818,hat,hat,5.7,12.976
10095,hate,hate,2.34,18.802
10138,hated,hated,2.14,12.938
9896,hater,hater,2.84,18.775
10057,haters,haters,2.48,1.555
10158,hates,hates,2.06,13.311
7773,hath,hath,4.86,1.125
9288,hatin,hatin,3.84,15.458
10073,hating,hating,2.44,1.445
10118,hatred,hatred,2.22,18.626
1470,hats,hats,6.41,13.216
9432,haunt,haunt,3.62,16.399
9482,haunted,haunted,3.54,16.368
9599,haunting,haunting,3.38,17.366
6982,hav,hav,5.04,8.071
3310,have,have,5.82,8.497
1226,haven,haven,6.54,16.439
9300,haven't,haven't,3.82,12.567
9043,havent,havent,4.14,13.554
6513,havin,havin,5.14,14.144
3483,having,having,5.78,1.016
9792,havoc,havoc,3.04,16.827
575,hawaii,hawaii,7.02,16.841
5476,hay,hay,5.36,14.813
8729,haze,haze,4.44,15.539
8542,hazy,hazy,4.58,14.859
3484,hd,hd,5.78,12.982
5202,he,he,5.42,9.055
7451,he'd,he'd,4.94,10.184
4899,he'll,he'll,5.48,11.648
6697,he's,he's,5.1,7.354
2778,head,head,5.96,10.683
10178,headache,headache,1.98,11.156
3389,headed,headed,5.8,8.571
4207,heading,heading,5.62,10.669
4700,headline,headline,5.52,1.313
1757,headphones,headphones,6.3,11.824
5303,headquarters,headquarters,5.4,10.102
4111,heads,heads,5.64,10.451
790,heal,heal,6.82,14.525
672,healing,healing,6.92,13.974
388,health,health,7.22,12.501
5304,healthcare,healthcare,5.4,20.603
21,healthy,healthy,8.02,10.593
3238,hear,hear,5.84,12.014
5477,heard,heard,5.36,802
3311,hearing,hearing,5.82,14.803
8777,hearings,hearings,4.4,16.537
3781,hears,hears,5.71,13.832
389,heart,heart,7.22,14.327
10109,heartache,heartache,2.28,14.988
9986,heartaches,heartaches,2.63,20.184
834,heartbeat,heartbeat,6.78,17.058
10144,heartbreak,heartbreak,2.11,13.061
9948,heartbreaker,heartbreaker,2.72,17.266
1471,hearted,hearted,6.41,13.832
1074,heartfelt,heartfelt,6.62,18.832
346,hearts,hearts,7.26,16.759
9030,heat,heat,4.16,18.223
4208,heather,heather,5.62,901
2626,heating,heating,6,15.779
61,heaven,heaven,7.86,1.578
252,heavenly,heavenly,7.38,18.282
178,heavens,heavens,7.51,17.335
8188,heavily,heavily,4.74,11.214
9082,heavy,heavy,4.1,14.178
8429,heb,heb,4.64,9.424
6227,hebrew,hebrew,5.2,14.142
8679,heck,heck,4.48,13.886
5305,hee,hee,5.4,14.983
5722,heed,heed,5.31,12.111
7085,heeft,heeft,5.02,13.013
5831,heel,heel,5.29,1.354
2779,heels,heels,5.96,11.241
2702,heh,heh,5.98,12.696
1339,hehe,hehe,6.48,16.932
533,hehehe,hehehe,7.06,16.587
4060,height,height,5.65,14.076
4112,heights,heights,5.64,16.383
5870,held,held,5.28,12.784
5009,helen,helen,5.46,10.144
10120,hell,hell,2.22,14.748
