Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
2939,i,i,5.92,13.377
8223,i,i,4.72,11.959
5105,i'd,i'd,5.44,8.122
5390,i'll,i'll,5.38,12.919
3651,i'm,i'm,5.74,15.754
4391,i've,i've,5.58,11.796
6700,ian,ian,5.1,1.165
8484,ib,ib,4.61,13.967
7821,ibid,ibid,4.86,13.693
4392,ibm,ibm,5.58,1.295
3390,ice,ice,5.8,14.846
8877,ich,ich,4.3,15.811
2435,icon,icon,6.06,12.683
8843,icy,icy,4.34,18.473
7178,id,id,5,1.088
534,idea,idea,7.06,12.843
606,ideal,ideal,6.98,17.082
1117,ideals,ideals,6.6,16.162
440,ideas,ideas,7.16,12.835
3820,identical,identical,5.7,14.743
3701,identification,identification,5.73,11.803
5661,identified,identified,5.32,12.688
4393,identify,identify,5.58,13.566
2705,identity,identity,5.98,11.156
4253,ideological,ideological,5.61,14.694
3351,ideology,ideology,5.82,14.387
9785,idiot,idiot,3.06,15.308
9786,idiots,idiots,3.06,16.088
8901,idk,idk,4.28,17.028
4292,idol,idol,5.6,14.708
7633,ie,ie,4.9,11.294
8323,iets,iets,4.69,11.218
8386,if,if,4.66,8.947
9824,ignorance,ignorance,2.98,13.626
9576,ignorant,ignorant,3.42,18.745
9691,ignore,ignore,3.22,13.746
9642,ignored,ignored,3.32,15.043
7745,igual,igual,4.88,11.298
6889,ihn,ihn,5.06,9.775
8166,ihr,ihr,4.76,10.514
7087,ii,ii,5.02,6.848
7370,iii,iii,4.96,10.683
8498,ik,ik,4.6,9.476
4903,ikea,ikea,5.48,16.567
8902,il,il,4.28,12.784
10079,ill,ill,2.42,12.304
9884,illegal,illegal,2.86,13.704
7555,illinois,illinois,4.92,13.974
10173,illness,illness,2,1.178
4452,illusion,illusion,5.56,15.004
5448,illusions,illusions,5.36,18.109
3047,illustrate,illustrate,5.9,14.895
1657,illustrated,illustrated,6.34,10.806
1188,illustration,illustration,6.56,12.316
1324,illustrations,illustrations,6.49,14.012
5581,ily,ily,5.34,15.729
7088,im,im,5.02,11.156
8610,ima,ima,4.54,12.324
2854,image,image,5.94,16.587
1658,images,images,6.34,12.224
631,imagination,imagination,6.96,13.547
427,imagine,imagine,7.18,11.008
1603,imagined,imagined,6.36,1.495
8190,imma,imma,4.74,11.214
4293,immediate,immediate,5.6,1.666
4006,immediately,immediately,5.66,11.359
3776,immense,immense,5.71,16.457
8374,immer,immer,4.67,10.486
6144,immigrants,immigrants,5.22,15.945
6228,immigration,immigration,5.2,13.553
1077,immortal,immortal,6.62,16.523
7935,impact,impact,4.82,1.32
6337,imperial,imperial,5.18,20.373
3727,implementation,implementation,5.72,12.784
9020,implications,implications,4.17,12.392
7089,implied,implied,5.02,10.398
5926,implies,implies,5.27,11.138
3728,import,import,5.72,13.407
4114,importa,importa,5.64,12.415
1699,importance,importance,6.32,11.328
1700,important,important,6.32,13.316
5106,imports,imports,5.44,14.868
9236,impose,impose,3.9,11.294
9134,imposed,imposed,4.04,11.773
9869,impossible,impossible,2.9,12.657
9152,imprecisely,imprecisely,4.02,1.505
1138,impress,impress,6.58,14.708
364,impressed,impressed,7.24,10.412
2855,impression,impression,5.94,10.768
553,impressive,impressive,7.04,10.294
1411,improve,improve,6.44,15.005
731,improved,improved,6.86,13.554
732,improvement,improvement,6.86,12.618
516,improvements,improvements,7.08,14.119
632,improving,improving,6.96,8.797
