Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
6990,j,j,5.04,8.562
7779,ja,ja,4.86,12.938
4808,jack,jack,5.5,9.742
2028,jacket,jacket,6.2,11.249
3821,jackson,jackson,5.7,12.657
6339,jacob,jacob,5.18,11.192
5875,jacobs,jacobs,5.28,9.044
5663,jacqueline,jacqueline,5.32,16.591
9228,jaded,jaded,3.92,16.563
7280,jadi,jadi,4.98,8.687
6892,jag,jag,5.06,15.703
6606,jah,jah,5.12,13.649
10204,jail,jail,1.76,10.214
7457,jaja,jaja,4.94,16.464
6059,jajaja,jajaja,5.24,12.048
5975,jake,jake,5.26,1.482
2561,jam,jam,6.02,20.252
1701,jamaica,jamaica,6.32,17.076
8037,jamais,jamais,4.8,14.858
5876,james,james,5.28,10.698
5393,jamie,jamie,5.38,9.666
5309,jan,jan,5.4,11.429
4809,jane,jane,5.5,9.742
4905,janet,janet,5.48,9.528
3822,january,january,5.7,19.086
2630,japan,japan,6,13.093
3155,japan's,japan's,5.86,11.608
2562,japanese,japanese,6.02,15.713
6563,jar,jar,5.12,11.416
6607,jason,jason,5.12,13.192
2708,java,java,5.98,15.583
6234,jaw,jaw,5.2,13.401
5107,jay,jay,5.44,11.278
4500,jay-z,jay-z,5.56,1.514
1455,jazz,jazz,6.42,14.581
6702,jb,jb,5.1,9.949
7858,jd,jd,4.84,7.918
8072,je,je,4.78,10.554
9964,jealous,jealous,2.68,12.027
9799,jealousy,jealousy,3.04,15.513
3317,jean,jean,5.82,15.739
5209,jeanne,jeanne,5.42,10.319
1659,jeans,jeans,6.34,1.891
7281,jeder,jeder,4.98,13.626
2783,jeep,jeep,5.96,17.375
6235,jeff,jeff,5.2,10.498
4702,jefferson,jefferson,5.52,1.015
5012,jeffrey,jeffrey,5.46,10.539
7890,jeg,jeg,4.84,11.609
1912,jelly,jelly,6.24,1.318
3156,jennifer,jennifer,5.86,13.999
2631,jenny,jenny,6,16.811
5210,jeremy,jeremy,5.42,11.445
9680,jerk,jerk,3.24,13.024
7094,jerome,jerome,5.02,10.593
5013,jerry,jerry,5.46,19.919
6236,jersey,jersey,5.2,13.401
6608,jerusalem,jerusalem,5.12,17.916
5394,jesse,jesse,5.38,14.412
3566,jessica,jessica,5.76,14.923
1267,jesus,jesus,6.52,19.298
2860,jet,jet,5.94,1.634
4703,jets,jets,5.52,13.589
6237,jetzt,jetzt,5.2,11.249
687,jewelry,jewelry,6.9,15.017
209,jewels,jewels,7.46,16.153
3730,jewish,jewish,5.72,10.506
4211,jews,jews,5.62,15.372
8499,jg,jg,4.6,1.069
8547,jigga,jigga,4.58,13.716
8485,jij,jij,4.61,11.331
3913,jill,jill,5.68,13.161
5976,jim,jim,5.26,1.209
5478,jimmy,jimmy,5.36,11.205
1913,jingle,jingle,6.24,17.792
5359,jive,jive,5.39,19.453
5764,jk,jk,5.3,1.233
6800,jo,jo,5.08,1.14
4906,joan,joan,5.48,12.329
2784,job,job,5.96,17.257
1702,jobs,jobs,6.32,17.431
6145,joe,joe,5.22,9.322
5108,joel,joel,5.44,10.134
6801,john,john,5.08,11.578
6238,john's,john's,5.2,11.952
3823,johnny,johnny,5.7,12.657
7998,johns,johns,4.8,13.851
5310,johnson,johnson,5.4,13.702
1978,join,join,6.22,15.556
1759,joined,joined,6.3,10.926
2029,joining,joining,6.2,11.066
6340,joint,joint,5.18,16.374
132,joke,joke,7.62,13.981
28,jokes,jokes,7.98,9.792
6703,jon,jon,5.1,8.144
7634,jonas,jonas,4.9,17.757
6341,jonathan,jonathan,5.18,11.192
4810,jones,jones,5.5,10.152
5109,jordan,jordan,5.44,17.515
4704,jose,jose,5.52,1.432
5311,joseph,joseph,5.4,16.162
4705,josh,josh,5.52,13.738
5664,joshua,joshua,5.32,9.781
7458,jou,jou,4.94,13.001
7410,jour,jour,4.96,12.741
3824,journal,journal,5.7,13.132
4706,journalism,journalism,5.52,16.193
4613,journalist,journalist,5.54,13.584
6239,journalists,journalists,5.2,15.119
457,journey,journey,7.14,1.512
9,joy,joy,8.16,10.568
2861,joyce,joyce,5.94,15.174
5211,jr,jr,5.42,13.415
7780,jst,jst,4.86,8.332
6802,juan,juan,5.08,1.066
7559,judge,judge,4.92,16.015
6944,judgement,judgement,5.04,15.704
7710,judges,judges,4.88,13.346
8191,judgment,judgment,4.74,18.385
7282,judicial,judicial,4.98,12.534
6342,judith,judith,5.18,11.008
7999,judy,judy,4.8,1.069
6609,juga,juga,5.12,11.542
473,juice,juice,7.12,10.812
338,juicy,juicy,7.27,12.037
836,jukebox,jukebox,6.78,15.817
5212,julia,julia,5.42,11.082
5213,julie,julie,5.42,11.796
2709,july,july,5.98,16.962
4907,jump,jump,5.48,17.407
4501,jumped,jumped,5.56,13.426
2208,jumping,jumping,6.14,1.578
1703,june,june,6.32,13.915
3866,jungle,jungle,5.69,18.952
5765,junior,junior,5.3,12.657
9301,junk,junk,3.82,13.354
7711,junto,junto,4.88,10.812
6610,jurisdiction,jurisdiction,5.12,15.205
8548,jurors,jurors,4.58,1.401
8903,jury,jury,4.28,13.407
7180,jus,jus,5,8.571
8073,juss,juss,4.78,6.788
3567,just,just,5.76,16.233
893,justice,justice,6.74,19.568
2314,justification,justification,6.1,13.439
1607,justified,justified,6.36,12.081
2818,justify,justify,5.96,13.379
5977,justin,justin,5.26,14.542
8820,juvenile,juvenile,4.36,18.818
