Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7181,k,k,5,12.617
7859,ka,ka,4.84,8.657
6611,kalo,kalo,5.12,9.823
8000,kan,kan,4.8,11.429
7823,kane,kane,4.86,11.547
7375,kann,kann,4.96,8.797
6612,kansas,kansas,5.12,1.023
8935,kanye,kanye,4.24,1.685
7095,kaplan,kaplan,5.02,10.971
5162,kara,kara,5.43,13.385
2315,karaoke,karaoke,6.1,19.086
5583,karen,karen,5.34,13.793
1979,karma,karma,6.22,17.296
4908,kate,kate,5.48,14.741
4909,katherine,katherine,5.48,15.418
4118,kathleen,kathleen,5.64,10.451
3731,kathryn,kathryn,5.72,10.887
4910,katie,katie,5.48,16.066
4911,katy,katy,5.48,11.993
7182,katz,katz,5,15.518
7599,kau,kau,4.92,1.397
7183,kaufman,kaufman,5,6.701
5978,kay,kay,5.26,11.031
7860,ke,ke,4.84,9.971
3157,keep,keep,5.86,10.692
3867,keepin,keepin,5.69,12.943
2316,keeping,keeping,6.1,11.112
3081,keeps,keeps,5.88,13.192
7376,keer,keer,4.96,10.683
8074,kein,kein,4.78,9.957
7861,keine,keine,4.84,11.132
6519,keith,keith,5.14,9.691
4502,kelly,kelly,5.56,11.634
6613,ken,ken,5.12,11.718
4395,kennedy,kennedy,5.58,14.299
6893,kenneth,kenneth,5.06,10.184
7096,kent,kent,5.02,11.692
3392,kentucky,kentucky,5.8,12.778
3653,kept,kept,5.74,11.031
6894,kerry,kerry,5.06,11.851
6240,kevin,kevin,5.2,12.778
3318,key,key,5.82,10.631
2256,keyboard,keyboard,6.12,13.944
2710,keys,keys,5.98,12.036
6752,kg,kg,5.08,13.019
9362,kick,kick,3.72,15.524
9713,kicked,kicked,3.18,13.952
6295,kickin,kickin,5.18,18.894
9389,kicking,kicking,3.68,16.218
8697,kicks,kicks,4.46,15.677
761,kid,kid,6.84,14.758
1502,kidding,kidding,6.4,13.702
254,kids,kids,7.38,16.022
8432,kijk,kijk,4.64,12.578
10213,kill,kill,1.56,10.529
9210,killa,killa,3.96,19.045
9239,killas,killas,3.9,18.434
10214,killed,killed,1.56,12.316
10080,killer,killer,2.42,19.282
10174,killers,killers,2,15.253
9616,killin,killin,3.36,19.458
10207,killing,killing,1.7,1.359
10200,killings,killings,1.8,15.386
10203,kills,kills,1.78,12.337
6146,kim,kim,5.22,15.817
6895,kimi,kimi,5.06,11.141
1704,kin,kin,6.32,15.043
365,kind,kind,7.24,13.933
7635,kinda,kinda,4.9,12.817
2209,kindle,kindle,6.14,12.456
239,kindness,kindness,7.4,1.088
3654,kinds,kinds,5.74,10.461
2094,king,king,6.18,15.609
2632,king's,king's,6,18.626
2030,kingdom,kingdom,6.2,13.248
2862,kings,kings,5.94,15.308
6060,kirk,kirk,5.24,14.507
121,kiss,kiss,7.64,17.585
66,kissed,kissed,7.84,15.048
88,kisses,kisses,7.74,1.192
41,kissing,kissing,7.94,11.323
4119,kit,kit,5.64,9.424
6343,kita,kita,5.18,13.045
2503,kitchen,kitchen,6.04,16.898
122,kitten,kitten,7.64,12.898
1079,kitty,kitty,6.62,18.614
6241,klein,klein,5.2,1.069
6856,km,km,5.06,1.049
5766,km/h,km/h,5.3,1.165
6803,knee,knee,5.08,6.952
7891,kneel,kneel,4.84,13.896
6344,knees,knees,5.18,11.192
2863,knew,knew,5.94,13.001
6147,knicks,knicks,5.22,17.413
9103,knife,knife,4.08,13.974
1980,knight,knight,6.22,14.609
8348,knives,knives,4.68,20.941
8294,kno,kno,4.7,8.631
7781,knock,knock,4.86,9.478
8753,knocked,knocked,4.42,11.082
6242,knocking,knocking,5.2,13.093
5267,knocks,knocks,5.41,15.932
7283,knot,knot,4.98,14.068
2317,know,know,6.1,13.887
3732,knowin,knowin,5.72,13.099
925,knowing,knowing,6.72,13.559
366,knowledge,knowledge,7.24,14.647
3393,known,known,5.8,13.851
2257,knows,knows,6.12,8.953
6520,knw,knw,5.14,10.304
7377,ko,ko,4.96,9.249
8122,kobe,kobe,4.76,17.907
6704,koch,koch,5.1,14.033
8549,kom,kom,4.58,12.137
8268,komm,komm,4.71,1.118
7672,kommt,kommt,4.9,9.627
6857,komt,komt,5.06,10.289
7511,kon,kon,4.94,1.265
5110,kong,kong,5.44,11.808
8349,kono,kono,4.68,11.507
5584,korea,korea,5.34,13.793
4912,korean,korean,5.48,14.741
7636,koto,koto,4.9,11.995
5665,kristen,kristen,5.32,1.449
7637,kt,kt,4.9,12.657
7184,ku,ku,5,12.289
9115,kurupt,kurupt,4.06,15.308
8579,kuwait,kuwait,4.56,16.801
