Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
5877,l,l,5.28,11.436
7185,la,la,5,8.571
8038,laat,laat,4.8,11.177
5111,lab,lab,5.44,15.407
5666,label,label,5.32,1.019
8969,labor,labor,4.22,16.199
2940,laboratory,laboratory,5.92,17.124
7824,labour,labour,4.86,18.708
3655,lace,lace,5.74,16.759
6392,laced,laced,5.16,13.746
9724,lack,lack,3.16,12.835
9368,lacking,lacking,3.71,1.633
3617,ladder,ladder,5.76,12.505
410,ladies,ladies,7.2,14.708
6393,lado,lado,5.16,11.429
1118,lady,lady,6.6,14.569
5014,lafayette,lafayette,5.46,15.806
7937,lagi,lagi,4.82,919
5312,lah,lah,5.4,12.289
5015,laid,laid,5.46,12.324
894,lake,lake,6.74,16.759
6896,lakers,lakers,5.06,15.832
1550,lamb,lamb,6.38,12.599
6148,lambert,lambert,5.22,14.886
9578,lame,lame,3.42,14.299
3568,lamp,lamp,5.76,9.806
2095,land,land,6.18,13.354
3242,landed,landed,5.84,10.373
3319,landing,landing,5.82,12.403
2438,landmark,landmark,6.06,10.184
3243,lands,lands,5.84,13.303
987,landscape,landscape,6.68,11.683
6149,lane,lane,5.22,1.016
6430,lang,lang,5.16,6.809
1156,language,language,6.58,12.137
1414,languages,languages,6.44,13.577
4614,lap,lap,5.54,12.811
474,laptop,laptop,7.12,13.498
7378,larchmont,larchmont,4.96,10.683
2439,large,large,6.06,12.683
2785,largely,largely,5.96,10.294
2864,larger,larger,5.94,15.308
1660,largest,largest,6.34,13.793
6521,larry,larry,5.14,13.704
6897,las,las,5.06,843
9347,last,last,3.74,12.586
2746,lasts,lasts,5.98,17.617
9541,late,late,3.46,11.643
8123,lately,lately,4.76,16.107
8500,later,later,4.6,13.553
5112,lateral,lateral,5.44,12.643
2440,latest,latest,6.06,13.614
5395,latin,latin,5.38,13.834
6566,latter,latter,5.12,14.381
3914,laude,laude,5.68,13.005
5,laugh,laugh,8.22,13.746
4,laughed,laughed,8.26,11.572
6,laughing,laughing,8.2,11.066
8,laughs,laughs,8.18,11.551
0,laughter,laughter,8.5,9.313
1503,launch,launch,6.4,12.936
2318,launched,launched,6.1,10.351
2210,launches,launches,6.14,1.125
9084,laundry,laundry,4.1,16.568
4396,laura,laura,5.58,16.671
4503,lauren,lauren,5.56,13.273
4913,laurie,laurie,5.48,11.993
8001,lautner,lautner,4.8,12.617
7638,law,law,4.9,15.551
8295,lawmakers,lawmakers,4.7,14.604
2633,lawn,lawn,6,12.289
5313,lawrence,lawrence,5.4,13.401
6804,laws,laws,5.08,14.546
9833,lawsuit,lawsuit,2.96,16.157
9800,lawsuits,lawsuits,3.04,17.019
9279,lawyer,lawyer,3.84,14.194
8921,lawyers,lawyers,4.26,18.715
4397,lay,lay,5.58,12.792
4120,layer,layer,5.64,11.563
4296,layers,layers,5.6,13.093
4753,layin,layin,5.51,10.825
6522,laying,laying,5.14,10.104
3158,layout,layout,5.86,9.037
3244,lays,lays,5.84,15.032
9664,lazy,lazy,3.28,14.574
8433,lbs,lbs,4.64,11.021
6150,lcd,lcd,5.22,14.184
7782,le,le,4.86,8.084
1804,lead,lead,6.28,14.574
1551,leader,leader,6.38,13.384
3082,leaders,leaders,5.88,13.192
1308,leadership,leadership,6.5,1.594
1049,leading,leading,6.64,15.086
2441,leads,leads,6.06,10.956
2258,leaf,leaf,6.12,13.944
3394,league,league,5.8,11.606
4658,lean,lean,5.53,14.304
1855,leap,leap,6.26,12.906
959,learn,learn,6.7,14.178
673,learned,learned,6.92,15.232
674,learning,learning,6.92,13.529
8467,lease,lease,4.62,12.599
9171,least,least,4,1.069
4504,leather,leather,5.56,14.868
8638,leave,leave,4.52,13.285
4212,leaves,leaves,5.62,17.944
8893,leavin,leavin,4.29,14.434
9455,leaving,leaving,3.58,12.792
8468,lebanon,lebanon,4.62,13.536
5921,leben,leben,5.27,12.158
7560,lebron,lebron,4.92,15.628
8698,lecture,lecture,4.46,14.316
7712,lectures,lectures,4.88,18.142
4914,led,led,5.48,11.292
5767,lee,lee,5.3,9.091
8434,left,left,4.64,14.394
4213,leg,leg,5.62,10.079
3006,legacy,legacy,5.9,16.067
6345,legal,legal,5.18,1.746
1309,legend,legend,6.5,14.321
8879,legislation,legislation,4.3,15.551
8296,legislative,legislative,4.7,15.419
8989,legislators,legislators,4.2,18.844
8297,legislature,legislature,4.7,15.286
2380,legit,legit,6.08,11.753
1914,legitimate,legitimate,6.24,16.107
2711,lego,lego,5.98,12.696
2442,legs,legs,6.06,13.001
8682,lehman,lehman,4.48,1.313
4915,lei,lei,5.48,1.581
428,leisure,leisure,7.18,16.986
8002,lejos,lejos,4.8,11.249
8501,lemme,lemme,4.6,11.249
2156,lemon,lemon,6.16,13.456
6021,lend,lend,5.26,1.775
5878,length,length,5.28,8.816
3159,lens,lens,5.86,14.984
3160,leo,leo,5.86,14.848
6431,leon,leon,5.16,10.947
6346,leonard,leonard,5.18,12.728
4010,leopard,leopard,5.66,15.066
8124,les,les,4.76,12.048
6523,lesbian,lesbian,5.14,21.094
9412,lesions,lesions,3.65,18.961
6347,leslie,leslie,5.18,13.045
9085,less,less,4.1,12.495
9072,lesser,lesser,4.1,12.949
5768,lesson,lesson,5.3,1.488
2712,lessons,lessons,5.98,13.775
5396,let,let,5.38,10.079
5016,let's,let's,5.46,10.144
4398,lets,lets,5.58,1.012
2865,letter,letter,5.94,10.956
3007,letters,letters,5.9,14.178
6348,letting,letting,5.18,13.656
4297,level,level,5.6,9.897
5769,levels,levels,5.3,953
4811,leven,leven,5.5,12.817
7639,levin,levin,4.9,9.091
7097,levine,levine,5.02,11.156
8990,levy,levy,4.2,13.851
4399,lewis,lewis,5.58,11.796
5770,lexington,lexington,5.3,12.817
6151,lg,lg,5.22,864
8502,li,li,4.6,11.606
9073,liability,liability,4.1,16.863
8730,liable,liable,4.44,17.398
9706,liar,liar,3.18,15.636
3395,liberal,liberal,5.8,21.665
273,liberation,liberation,7.35,13.039
988,liberties,liberties,6.68,17.076
367,liberty,liberty,7.24,12.707
411,libraries,libraries,7.2,12.454
1343,library,library,6.48,1.764
4505,license,license,5.56,13.426
8192,licht,licht,4.74,12.747
5314,lick,lick,5.4,15.649
10001,lie,lie,2.6,16.162
5585,liebe,liebe,5.34,1.394
9916,lied,lied,2.82,1.207
7681,liefde,liefde,4.89,14.206
9989,lies,lies,2.62,13.834
7713,lieu,lieu,4.88,9.398
6061,lieutenant,lieutenant,5.24,11.877
293,life,life,7.32,16.956
2319,life's,life's,6.1,13.887
926,lifelong,lifelong,6.72,14.434
1856,lifetime,lifetime,6.26,16.264
3489,lift,lift,5.78,10.359
2031,lifted,lifted,6.2,12.289
1504,light,light,6.4,15.119
2634,lighting,lighting,6,14.428
6243,lightning,lightning,5.2,18.844
1705,lights,lights,6.32,14.061
7098,lik,lik,5.02,10.784
391,like,like,7.22,12.171
441,liked,liked,7.16,9.116
1415,likely,likely,6.44,12.149
332,likes,likes,7.28,15.391
2635,likewise,likewise,6,12.454
734,liking,liking,6.86,8.809
6244,lil,lil,5.2,12.454
5586,lillian,lillian,5.34,14.654
1119,lime,lime,6.6,13.401
8970,limit,limit,4.22,13.138
9435,limitations,limitations,3.62,13.536
8971,limited,limited,4.22,11.657
9172,limits,limits,4,11.952
3569,lincoln,lincoln,5.76,13.933
4400,linda,linda,5.58,15.398
7284,line,line,4.98,12.036
5479,linear,linear,5.36,11.911
5979,lines,lines,5.26,10.063
6245,linger,linger,5.2,16.903
1661,linguistic,linguistic,6.34,1.394
3490,link,link,5.78,11.119
5017,linked,linked,5.46,14.028
4298,links,links,5.6,11.606
2941,linux,linux,5.92,15.628
2096,lion,lion,6.18,16.123
3008,lip,lip,5.9,10.738
1268,lips,lips,6.52,12.656
1760,lipstick,lipstick,6.3,15.286
3195,liquid,liquid,5.86,11.726
5480,liquor,liquor,5.36,22.836
4299,lisa,lisa,5.6,13.093
5018,list,list,5.46,8.621
6805,listed,listed,5.08,11.578
2866,listen,listen,5.94,14.344
2032,listened,listened,6.2,12.778
5214,listenin,listenin,5.42,15.398
1805,listening,listening,6.28,14.434
5481,listing,listing,5.36,10.053
7186,listings,listings,5,12.289
6705,lists,lists,5.1,1.374
4121,lit,lit,5.64,13.056
5397,lite,lite,5.38,1.427
5667,literally,literally,5.32,15.178
1376,literary,literary,6.46,13.584
1269,literature,literature,6.52,17.984
9560,litigation,litigation,3.44,15.928
8503,little,little,4.6,13.401
762,live,live,6.84,15.167
3320,lived,lived,5.82,15.996
7187,liver,liver,5,18.406
2443,liverpool,liverpool,6.06,15.572
1981,lives,lives,6.22,1.148
2177,livin,livin,6.15,15.977
989,living,living,6.68,12.196
5215,livingston,livingston,5.42,9.278
7938,ll,ll,4.82,7.475
6991,llegar,llegar,5.04,11.599
8075,llorar,llorar,4.78,14.327
6349,lloyd,lloyd,5.18,919
8550,lls,lls,4.58,14.299
3396,lmao,lmao,5.8,18.952
5482,lmaoo,lmaoo,5.36,18.926
3083,lmaooo,lmaooo,5.88,20.368
2636,lmfao,lmfao,6,21.285
7862,lo,lo,4.84,11.132
8193,load,load,4.74,10.654
4971,loaded,loaded,5.47,18.383
6246,loads,loads,5.2,12.122
8972,loan,loan,4.22,14.039
9302,loans,loans,3.82,12.728
6247,lobby,lobby,5.2,14.846
8778,lobbying,lobbying,4.4,15.908
8298,loc,loc,4.7,11.112
8244,loca,loca,4.72,15.391
5019,local,local,5.46,13.584
3161,located,located,5.86,13.554
3915,location,location,5.68,10.583
8551,lock,lock,4.58,1.012
9378,locked,locked,3.7,12.657
6432,locker,locker,5.16,9.553
6949,loco,loco,5.04,17.073
5587,log,log,5.34,9.607
1982,logic,logic,6.22,14.748
1608,logical,logical,6.36,13.962
3916,logo,logo,5.68,10.774
6152,lois,lois,5.22,12.664
763,lol,lol,6.84,17.884
4214,lolol,lolol,5.62,21.843
3009,lolz,lolz,5.9,15.551
1377,london,london,6.46,16.315
8991,lone,lone,4.2,15.649
9974,loneliness,loneliness,2.66,18.139
9885,lonely,lonely,2.86,1.512
9750,lonesome,lonesome,3.12,16.243
8194,long,long,4.74,16.637
4401,long-term,long-term,5.58,17.853
6350,longer,longer,5.18,11.726
4916,longest,longest,5.48,14.462
8740,longing,longing,4.43,16.956
6062,longtime,longtime,5.24,17.328
4615,look,look,5.54,11.287
4402,looked,looked,5.58,13.566
5398,lookin,lookin,5.38,13.686
2867,looking,looking,5.94,9.775
2713,looks,looks,5.98,13.775
5020,loop,loop,5.46,13.126
9203,loose,loose,3.96,16.532
5542,loot,loot,5.35,20.872
1662,lord,lord,6.34,18.251
4403,lords,lords,5.58,21.389
8299,los,los,4.7,11.824
9934,lose,lose,2.76,10.984
10126,loser,loser,2.2,11.066
9692,losers,losers,3.22,18.767
9940,loses,loses,2.74,12.423
9990,losing,losing,2.62,11.761
10028,loss,loss,2.56,15.005
10063,losses,losses,2.46,14.458
9935,lost,lost,2.76,13.933
3491,lot,lot,5.78,13.746
1806,lots,lots,6.28,14.291
6288,lotta,lotta,5.19,14.333
1552,lottery,lottery,6.38,21.275
5315,lou,lou,5.4,13.093
8844,loud,loud,4.34,18.802
7897,louder,louder,4.83,15.483
6524,louis,louis,5.14,12.938
5668,louise,louise,5.32,11.683
4011,louisiana,louisiana,5.66,13.644
1310,lounge,lounge,6.5,13.439
6525,lovato,lovato,5.14,1.143
2,love,love,8.42,11.082
36,loved,loved,7.96,11.599
294,lovely,lovely,7.32,15.444
310,lover,lover,7.3,19.299
165,lovers,lovers,7.54,12.811
37,loves,loves,7.96,13.696
458,lovin,lovin,7.14,19.693
