Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
6898,m,m,5.06,10.382
2381,ma,ma,6.08,20.488
7641,maar,maar,4.9,5.051
3656,mac,mac,5.74,13.524
2714,macbook,macbook,5.98,15.185
5399,machine,machine,5.38,12.599
4616,machinery,machinery,5.54,13.433
3917,machines,machines,5.68,13.005
7673,macht,macht,4.9,10.051
7642,mack,mack,4.9,1.669
10002,mad,mad,2.6,13.248
2320,madame,madame,6.1,1.632
2786,made,made,5.96,10.683
4918,madison,madison,5.48,11.993
9444,madness,madness,3.6,18.183
9922,mafia,mafia,2.81,17.943
5879,mag,mag,5.28,10.309
3010,magazine,magazine,5.9,1.669
2444,magazines,magazines,6.06,14.486
809,magic,magic,6.8,17.613
255,magical,magical,7.38,12.919
1857,magnetic,magnetic,6.26,12.906
3570,magnitude,magnitude,5.76,14.223
7783,mah,mah,4.86,926
6992,mai,mai,5.04,9.889
1609,mail,mail,6.36,16.874
5317,main,main,5.4,12.122
3321,maine,maine,5.82,14.941
5980,mainly,mainly,5.26,12.257
3571,maintain,maintain,5.76,10.412
1610,maintained,maintained,6.36,14.394
3440,maintaining,maintaining,5.8,14.997
7863,maintenance,maintenance,4.84,15.954
7714,mais,mais,4.88,773
1157,majesty,majesty,6.58,16.914
3572,major,major,5.76,14.223
3011,majority,majority,5.9,11.112
2637,make,make,6,9.897
3322,maker,maker,5.82,10.437
3573,makers,makers,5.76,10.012
4506,makes,makes,5.56,1.248
3574,makeup,makeup,5.76,17.677
7459,makin,makin,4.94,12.521
1915,making,making,6.24,11.877
8504,mal,mal,4.6,13.702
5318,malcolm,malcolm,5.4,10.102
2563,male,male,6.02,13.626
2259,males,males,6.12,14.658
3012,mall,mall,5.9,14.033
368,mama,mama,7.24,17.562
2787,mambo,mambo,5.96,17.257
4062,mami,mami,5.65,13.158
527,mamma,mamma,7.06,17.006
3013,man,man,5.9,14.033
4404,man's,man's,5.58,15.131
3657,manage,manage,5.74,1.192
3918,managed,managed,5.68,11.328
8125,management,management,4.76,14.365
7099,manager,manager,5.02,1.505
6706,managers,managers,5.1,1.359
4215,managing,managing,5.62,12.599
4507,manchester,manchester,5.56,13.273
4012,mane,mane,5.66,13.644
6806,manhasset,manhasset,5.08,13.068
3825,manhattan,manhattan,5.7,17.409
4812,manifest,manifest,5.5,1.359
895,mankind,mankind,6.74,16.011
5400,manner,manner,5.38,13.536
810,manners,manners,6.8,12.454
6153,mano,mano,5.22,11.301
3575,manor,manor,5.76,13.786
8039,manos,manos,4.8,12.744
6707,mans,mans,5.1,13.887
796,mansion,mansion,6.82,16.288
3576,manual,manual,5.76,13.637
