Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7942,n,n,4.82,10.821
8754,na,na,4.42,9.278
8008,naar,naar,4.8,8.081
8391,nach,nach,4.66,12.875
7105,nacht,nacht,5.02,14.356
8755,nada,nada,4.42,11.265
7788,nadie,nadie,4.86,12.456
8660,nah,nah,4.5,11.294
8009,nai,nai,4.8,13.851
8303,nail,nail,4.7,14.321
7288,nails,nails,4.98,14.776
8805,naive,naive,4.37,19.006
3015,naked,naked,5.9,22.879
3659,name,name,5.74,11.747
4411,named,named,5.58,8.593
6067,namely,namely,5.24,12.707
5674,names,names,5.32,9.988
2747,nana,nana,5.98,17.617
5324,nancy,nancy,5.4,13.248
7867,nao,nao,4.84,13.149
1416,nap,nap,6.44,19.183
7383,napoleon,napoleon,4.96,20.199
2136,narrative,narrative,6.16,1.241
8614,narrow,narrow,4.54,9.941
6815,nas,nas,5.08,8.999
8079,nasdaq,nasdaq,4.78,15.022
3326,nashville,nashville,5.82,1.32
5675,nassau,nassau,5.32,14.348
9991,nasty,nasty,2.62,12.271
7519,nate,nate,4.94,13.591
6068,nathan,nathan,5.24,11.704
2447,nation,nation,6.06,15.039
2872,nation's,nation's,5.94,1.544
2718,national,national,5.98,11.516
2642,nations,nations,6,15.518
3248,nationwide,nationwide,5.84,12.513
2565,native,native,6.02,14.068
3446,natives,natives,5.79,1.458
7563,nato,nato,4.92,17.004
1193,natural,natural,6.56,14.868
811,naturally,naturally,6.8,16.036
369,nature,nature,7.24,1.802
7465,naughty,naughty,4.94,19.837
4924,naval,naval,5.48,12.493
4412,navy,navy,5.58,15.131
8882,naw,naw,4.3,1.165
5490,nba,nba,5.36,1.849
4709,nbc,nbc,5.52,11.471
5988,nc,nc,5.26,13.822
6615,ncaa,ncaa,5.12,15.205
8010,nd,nd,4.8,9.476
7943,ne,ne,4.82,5.602
3738,near,near,5.72,16.041
3926,nearby,nearby,5.68,11.856
2285,nearer,nearer,6.1,11.769
2532,nearest,nearest,6.02,12.498
5989,nearly,nearly,5.26,12.423
928,neat,neat,6.72,14.434
7106,necesito,necesito,5.02,13.256
6816,necessarily,necessarily,5.08,1.122
7107,necessary,necessary,5.02,11.516
6254,necessity,necessity,5.2,14.569
5779,neck,neck,5.3,11.824
688,necklace,necklace,6.9,1.165
7645,nee,nee,4.9,9.313
7868,need,need,4.84,14.337
5027,needed,needed,5.46,14.875
9241,neediest,neediest,3.9,15.682
7466,needing,needing,4.94,17.544
8822,needle,needle,4.36,18.268
9124,needles,needles,4.04,19.891
7289,needs,needs,4.98,15.185
10081,negative,negative,2.42,10.515
9938,neglect,neglect,2.76,2.175
9899,neglected,neglected,2.84,17.538
2383,negotiate,negotiate,6.08,12.752
6255,negotiating,negotiating,5.2,14.846
5676,negotiations,negotiations,5.32,13.768
9061,negro,negro,4.12,16.616
8684,negroes,negroes,4.48,20.428
2384,neighbor,neighbor,6.08,13.827
1555,neighborhood,neighborhood,6.38,12.919
2385,neighborhoods,neighborhoods,6.08,14.686
3016,neighbors,neighbors,5.9,1.594
7194,neil,neil,5,7.559
8699,neither,neither,4.46,12.811
6905,nel,nel,5.06,9.564
6106,nelly,nelly,5.22,17.709
5402,nelson,nelson,5.38,1.276
8350,nem,nem,4.68,10.962
7039,nena,nena,5.02,11.938
1985,neon,neon,6.22,12.337
1230,nephew,nephew,6.54,16.189
1380,nephews,nephews,6.46,17.867
8011,nerd,nerd,4.8,18.736
7967,nerve,nerve,4.82,14.815
8690,nerves,nerves,4.47,16.968
9842,nervous,nervous,2.94,13.311
2792,net,net,5.96,10.294
2793,netflix,netflix,5.96,18.731
2719,netherlands,netherlands,5.98,13.323
6158,nets,nets,5.22,9.322
2643,network,network,6,12.778
2262,networking,networking,6.12,12.558
3403,networks,networks,5.8,13.702
6757,neutral,neutral,5.08,1.115
8304,neva,neva,4.7,9.949
9625,never,never,3.34,1.239
7719,nevertheless,nevertheless,4.88,14.234
791,new,new,6.82,11.373
7108,newark,newark,5.02,10.971
1312,newest,newest,6.5,15.551
1313,newly,newly,6.5,12.495
3163,newman,newman,5.86,12.124
4301,news,news,5.6,15.518
1707,newspaper,newspaper,6.32,13.468
2566,newspapers,newspapers,6.02,14.637
3660,newsstands,newsstands,5.74,12.586
3495,newton,newton,5.78,1.016
4219,next,next,5.62,10.669
6438,nfl,nfl,5.16,18.991
7944,ng,ng,4.82,1.207
7646,nh,nh,4.9,6.776
6715,nhl,nhl,5.1,14.604
7564,ni,ni,4.92,11.036
257,nice,nice,7.38,15.104
4620,nicholas,nicholas,5.54,9.082
8781,nicht,nicht,4.4,11.952
8305,nichts,nichts,4.7,11.824
6716,nick,nick,5.1,15.811
4513,nickel,nickel,5.56,15.407
4925,nicole,nicole,5.48,1.568
7467,nie,nie,4.94,9.127
929,niece,niece,6.72,13.559
1028,nieces,nieces,6.66,14.514
8216,niemand,niemand,4.73,11.863
8167,niente,niente,4.76,15.617
8756,niet,niet,4.42,13.864
8040,niets,niets,4.8,13.537
9643,nigga,nigga,3.32,20.548
9834,niggas,niggas,2.96,20.698
9826,niggaz,niggaz,2.98,21.332
10084,nigger,nigger,2.41,1.881
1986,night,night,6.22,12.982
4125,night's,night's,5.64,15.487
10101,nightmare,nightmare,2.32,18.674
10023,nightmares,nightmares,2.56,16.491
1270,nights,nights,6.52,15.151
7468,nih,nih,4.94,5.859
2323,nike,nike,6.1,13.887
5990,nina,nina,5.26,13.063
5221,nine,nine,5.42,11.265
5677,nineteenth,nineteenth,5.32,1.449
3661,ninja,ninja,5.74,16.389
2720,nintendo,nintendo,5.98,17.319
6358,ninth,ninth,5.18,9.833
3662,nite,nite,5.74,14.115
5403,nitrogen,nitrogen,5.38,14.412
9224,nixon,nixon,3.92,17.361
8437,nj,nj,4.64,10.835
8505,nme,nme,4.6,7.825
9523,no,no,3.48,12.974
594,noble,noble,7,16.036
9421,nobody,nobody,3.64,12.415
7109,noch,noch,5.02,11.516
5119,noche,noche,5.44,11.808
5631,noches,noches,5.33,13.422
3703,nod,nod,5.72,11.924
6199,node,node,5.2,14.858
5594,nog,nog,5.34,11.359
7469,noi,noi,4.94,10.184
9348,noise,noise,3.74,13.063
3017,nokia,nokia,5.9,1.374
8012,nom,nom,4.8,13.702
6200,nombre,nombre,5.2,1.369
2100,nomination,nomination,6.18,1.207
8922,non,non,4.26,12.747
9281,none,none,3.84,14.896
7789,nonetheless,nonetheless,4.86,10.104
5885,nonprofit,nonprofit,5.28,19.382
9062,nonsense,nonsense,4.12,1.599
8375,nooit,nooit,4.67,14.774
3833,noon,noon,5.7,13.132
8469,noone,noone,4.62,13.981
9252,nooo,nooo,3.88,13.797
9644,noose,noose,3.32,22.172
9063,nope,nope,4.12,13.797
8904,nor,nor,4.28,11.959
2721,normal,normal,5.98,10.784
4817,normally,normally,5.5,9.742
6817,norman,norman,5.08,12.752
6194,norms,norms,5.21,12.876
4710,north,north,5.52,12.162
3404,northeast,northeast,5.8,15.119
6159,northern,northern,5.22,13.293
3834,northwest,northwest,5.7,11.995
8080,nos,nos,4.78,9.322
4926,nose,nose,5.48,12.329
9264,not,not,3.86,12.938
5222,note,note,5.42,9.916
3018,notebook,notebook,5.9,13.887
6818,noted,noted,5.08,10.069
4621,notes,notes,5.54,11.466
9422,nothin,nothin,3.64,16.507
9242,nothing,nothing,3.9,12.817
9336,nothings,nothings,3.76,17.677
6439,notice,notice,5.16,15.032
5595,noticed,noticed,5.34,1.423
7470,noting,noting,4.94,12.521
6359,notion,notion,5.18,1.32
5061,notions,notions,5.46,11.291
8757,notwithstanding,notwithstanding,4.42,14.441
7471,nou,nou,4.94,11.323
7748,nous,nous,4.88,11.601
5120,nov,nov,5.44,1.248
5780,nova,nova,5.3,16.444
993,novel,novel,6.68,1.463
1456,novelist,novelist,6.42,17.272
812,novels,novels,6.8,16.903
2324,november,november,6.1,13.439
7290,novo,novo,4.98,13.476
3019,now,now,5.9,1.374
5223,nowadays,nowadays,5.42,14.581
9031,nowhere,nowhere,4.16,12.675
7869,nt,nt,4.84,6.809
7790,nu,nu,4.86,8.809
9665,nuclear,nuclear,3.28,17.847
5404,nucleus,nucleus,5.38,14.553
5491,nude,nude,5.36,19.667
5492,nuestro,nuestro,5.36,13.211
3927,nuevo,nuevo,5.68,11.683
7384,nuff,nuff,4.96,13.547
8306,nuh,nuh,4.7,13.887
9086,numb,numb,4.1,1.632
5781,number,number,5.3,9.313
2506,numbers,numbers,6.04,11.421
2386,numerous,numerous,6.08,11.925
7000,nun,nun,5.04,15.381
8506,nunca,nunca,4.6,10.302
8081,nur,nur,4.78,10.359
2035,nurse,nurse,6.2,12.617
2286,nurses,nurses,6.1,19.175
2263,nursing,nursing,6.12,14.658
3164,nut,nut,5.86,14.984
8685,nuthin,nuthin,4.48,14.741
3165,nuts,nuts,5.86,16.289
8392,nuttin,nuttin,4.66,13.793
7291,nw,nw,4.98,1.02
7385,nxt,nxt,4.96,9.681
4622,ny,ny,5.54,16.686
8307,nya,nya,4.7,7.354
2722,nyc,nyc,5.98,15.842
7565,nye,nye,4.92,10.467
6616,nyt,nyt,5.12,14.658
6906,nyu,nyu,5.06,11.141
