Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7386,o,o,4.96,832
7870,o_o,o_o,4.84,11.493
6717,o'brien,o'brien,5.1,10.926
6360,o'connor,o'connor,5.18,11.551
7195,o'neill,o'neill,5,11.606
2101,oak,oak,6.18,14.665
5325,oakland,oakland,5.4,13.851
2873,obama,obama,5.94,2.161
4016,obama's,obama's,5.66,22.462
5326,obedience,obedience,5.4,16.162
6718,obey,obey,5.1,18.763
9919,obituary,obituary,2.82,16.986
5028,object,object,5.46,10.343
9003,objection,objection,4.18,14.673
3785,objective,objective,5.7,14.282
2567,objectives,objectives,6.02,1.237
6256,objects,objects,5.2,14.142
8507,obligation,obligation,4.6,14.142
8269,obligations,obligations,4.71,16.073
7647,obliged,obliged,4.9,14.321
1780,observation,observation,6.29,13.202
3166,observations,observations,5.86,10.692
1833,observe,observe,6.27,13.659
3663,observed,observed,5.74,10.264
3835,observer,observer,5.7,10.926
9579,obsessed,obsessed,3.42,14.721
9349,obsession,obsession,3.74,11.214
3167,obtain,obtain,5.86,13.403
1614,obtained,obtained,6.36,12.081
3356,obtaining,obtaining,5.81,13.616
4126,obvious,obvious,5.64,10.835
4623,obviously,obviously,5.54,12.651
1860,occasion,occasion,6.26,11.747
4302,occasional,occasional,5.6,14.428
6819,occasionally,occasionally,5.08,14.824
2102,occasions,occasions,6.18,15.077
3442,occupation,occupation,5.8,15.809
7001,occupied,occupied,5.04,13.395
4017,occupy,occupy,5.66,15.598
6440,occur,occur,5.16,12.349
5596,occurred,occurred,5.34,10.224
4756,occurrence,occurrence,5.51,13.404
3957,occurring,occurring,5.67,9.217
4341,occurs,occurs,5.59,11.165
634,ocean,ocean,6.96,17.138
442,oceans,oceans,7.16,16.208
8523,och,och,4.59,10.977
4220,oct,oct,5.62,14.412
3087,october,october,5.88,14.234
8393,odd,odd,4.66,16.489
7196,odds,odds,5,11.249
8615,oder,oder,4.54,12.651
7472,of,of,4.94,7.669
9155,off,off,4.02,13.013
9472,offense,offense,3.56,15.274
9810,offensive,offensive,3.02,15.583
1080,offer,offer,6.62,1.028
2214,offered,offered,6.14,13.999
1708,offering,offering,6.32,16.468
1346,offers,offers,6.48,1.555
6617,office,office,5.12,16.243
6160,officer,officer,5.22,16.449
7292,officers,officers,4.98,1.672
7197,offices,offices,5,14.428
5405,official,official,5.38,1.028
7002,officially,officially,5.04,12.771
8127,officials,officials,4.76,13.637
9282,offline,offline,3.84,10.759
8248,offset,offset,4.72,11.959
3928,often,often,5.68,14.205
7791,og,og,4.86,11.782
7293,ogni,ogni,4.98,11.156
7871,oh,oh,4.84,10.759
8082,ohh,ohh,4.78,13.445
6820,ohhh,ohhh,5.08,19.571
5597,ohhhh,ohhhh,5.34,19.651
6161,ohio,ohio,5.22,14.184
7473,ohne,ohne,4.94,10.768
7792,oi,oi,4.86,15.388
7720,oil,oil,4.88,16.368
7520,ojos,ojos,4.94,18.726
2874,ok,ok,5.94,1.731
1194,okay,okay,6.56,13.118
4927,oklahoma,oklahoma,5.48,1.432
8700,ol,ol,4.46,13.433
8470,ol',ol',4.62,16.022
9189,old,old,3.98,17.553
8199,older,older,4.74,17.821
8351,oldest,oldest,4.68,16.468
4928,ole,ole,5.48,13.285
2644,olive,olive,6,11.429
6069,oliver,oliver,5.24,1.135
8013,olvidar,olvidar,4.8,1.178
1809,olympic,olympic,6.28,15.654
578,olympics,olympics,7.02,13.476
5224,om,om,5.42,16.174
8640,omfg,omfg,4.52,20.726
6719,omg,omg,5.1,17.173
9225,omitted,omitted,3.92,12.095
4514,on,on,5.56,10.721
7474,once,once,4.94,13.157
5327,one,one,5.4,15.908
8014,one-time,one-time,4.8,12.122
6907,one-year,one-year,5.06,8.901
5782,one's,one's,5.3,7.354
6441,ones,ones,5.16,8.172
930,online,online,6.72,12.784
7566,only,only,4.92,11.578
7294,ons,ons,4.98,13.476
6950,onset,onset,5.04,13.838
6529,onto,onto,5.14,8.574
7793,oo,oo,4.86,13.554
3249,ooh,ooh,5.84,18.223
7648,ook,ook,4.9,14.604
6821,ooo,ooo,5.08,14.546
2875,oooh,oooh,5.94,17.192
4018,oooo,oooo,5.66,20.062
1880,ooooh,ooooh,6.24,19.422
3618,oooooh,oooooh,5.76,15.483
