Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
6908,p,p,5.06,7.398
5678,pa,pa,5.32,16.468
6362,pac,pac,5.18,14.097
4129,pace,pace,5.64,10.254
2161,pacific,pacific,6.16,11.843
5600,pack,pack,5.34,12.715
1987,package,package,6.22,14.748
5887,packed,packed,5.28,11.613
5888,packing,packing,5.28,15.258
6531,pad,pad,5.14,1.325
4222,page,page,5.62,9.666
4223,pages,pages,5.62,9.875
460,paid,paid,7.14,17.144
10147,pain,pain,2.1,12.817
10140,painful,painful,2.12,14.518
1764,paint,paint,6.3,10.738
1765,painted,painted,6.3,9.949
1557,painter,painter,6.38,10.476
840,painting,painting,6.78,11.657
689,paintings,paintings,6.9,1.594
3329,pair,pair,5.82,11.899
2727,pairs,pairs,5.98,11.692
9216,pakistan,pakistan,3.94,11.502
370,pal,pal,7.24,12.707
6164,palabras,palabras,5.22,1.183
994,palace,palace,6.68,16.468
9317,pale,pale,3.8,1.088
8472,palestinian,palestinian,4.62,16.022
8662,palestinians,palestinians,4.5,11.995
9032,palin,palin,4.16,2.151
4930,palm,palm,5.48,13.285
5679,palmer,palmer,5.32,1.019
4624,pamela,pamela,5.54,8.621
4517,pan,pan,5.56,8.369
635,pancakes,pancakes,6.96,12.115
5889,pandora,pandora,5.28,15.784
4625,panel,panel,5.54,12.811
10064,panic,panic,2.46,13.433
1457,panties,panties,6.42,19.388
2944,pants,pants,5.92,1.14
864,papa,papa,6.76,19.332
3406,paper,paper,5.8,11.952
1347,paperbacks,paperbacks,6.48,18.097
5991,papers,papers,5.26,13.063
4712,papi,papi,5.52,13.886
7199,par,par,5,12.122
6822,para,para,5.08,9.442
1710,parade,parade,6.32,19.319
48,paradise,paradise,7.92,13.974
3868,paragraph,paragraph,5.69,12.781
4342,parallel,parallel,5.59,10.785
5890,parameter,parameter,5.28,12.129
7112,parameters,parameters,5.02,13.169
9516,paranoid,paranoid,3.5,18.434
3407,pardon,pardon,5.8,16.288
