Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8509,q,q,4.6,9.689
8356,qtr,qtr,4.68,11.683
6000,qual,qual,5.26,14.115
798,qualified,qualified,6.81,15.664
522,qualities,qualities,7.08,11.578
495,quality,quality,7.1,14.178
8134,quand,quand,4.76,12.867
7948,quando,quando,4.82,9.624
5128,quantitative,quantitative,5.44,1.402
2454,quantities,quantities,6.06,13.001
3444,quantity,quantity,5.8,13.226
4525,quarter,quarter,5.56,12.149
4632,quarterback,quarterback,5.54,18.206
7119,quarterly,quarterly,5.02,11.337
3671,quarters,quarters,5.74,1.209
3258,quartet,quartet,5.84,12.182
8440,que,que,4.64,13.962
8582,queda,queda,4.56,11.457
1923,queen,queen,6.24,17.907
1561,queens,queens,6.38,16.646
7477,quel,quel,4.94,11.323
8204,quem,quem,4.74,12.747
8806,querer,querer,4.37,14.676
7208,quero,quero,5,6.389
1992,quest,quest,6.22,14.609
6759,questa,questa,5.08,1.077
7303,question,question,4.98,17.319
8942,questioned,questioned,4.24,12.707
7209,questions,questions,5,10.498
7512,questo,questo,4.94,11.798
7746,qui,qui,4.88,8.811
2573,quick,quick,6.02,16.349
2241,quicker,quicker,6.12,11.481
3334,quickly,quickly,5.82,14.525
6724,quien,quien,5.1,10.152
6824,quiere,quiere,5.08,13.223
5928,quieres,quieres,5.27,12.874
5501,quiero,quiero,5.36,9.848
4823,quiet,quiet,5.5,18.098
3746,quietly,quietly,5.72,14.003
8396,quisiera,quisiera,4.66,14.086
9244,quit,quit,3.9,14.604
5685,quite,quite,5.32,17.076
5790,quiz,quiz,5.3,1.488
5035,quote,quote,5.46,9.082
4939,quoted,quoted,5.48,9.947
4311,quotes,quotes,5.6,13.851
