Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8084,r,r,4.78,10.554
6369,ra,ra,5.18,15.739
5502,rabbi,rabbi,5.36,14.535
496,rabbit,rabbit,7.1,12.164
3592,race,race,5.76,14.365
3747,races,races,5.72,13.099
3593,rachel,rachel,5.76,15.194
9173,racial,racial,4,17.261
2455,racing,racing,6.06,17.427
10150,racist,racist,2.08,13.529
9552,radiation,radiation,3.45,22.827
8553,radical,radical,4.58,16.174
1160,radio,radio,6.58,16.047
8732,rag,rag,4.44,12.643
10029,rage,rage,2.56,1.514
9580,raging,raging,3.42,16.424
9256,rags,rags,3.88,15.361
5791,rail,rail,5.3,11.112
3098,railroad,railroad,5.88,13.649
2137,railway,railway,6.16,13.439
1620,rain,rain,6.36,19.141
12,rainbow,rainbow,8.1,9.949
17,rainbows,rainbows,8.06,13.603
853,raindrops,raindrops,6.78,14.181
2948,raining,raining,5.92,2.165
2590,rains,rains,6.01,18.722
4136,rainy,rainy,5.64,21.737
901,raise,raise,6.74,1.209
1198,raised,raised,6.56,12.316
1031,raises,raises,6.66,16.239
1865,raising,raising,6.26,12.257
3839,rally,rally,5.7,12.495
7949,ralph,ralph,4.82,14.384
4824,ran,ran,5.5,14.604
7120,random,random,5.02,12.204
8664,randomly,randomly,4.5,11.294
5792,randy,randy,5.3,1.359
4137,rang,rang,5.64,10.835
4526,range,range,5.56,10.134
4138,rangers,rangers,5.64,13.056
5332,ranging,ranging,5.4,8.806
3748,rank,rank,5.72,14.003
4527,ranked,ranked,5.56,17.043
3840,rankings,rankings,5.7,15.682
5233,ranks,ranks,5.42,16.793
7478,rap,rap,4.94,19.734
10219,rape,rape,1.44,7.866
10210,raped,raped,1.64,14.251
3414,rapid,rapid,5.8,12.936
4418,rapidly,rapidly,5.58,12.631
8357,rapper,rapper,4.68,19.737
7304,rappers,rappers,4.98,21.617
8410,rappin,rappin,4.65,1.91
8411,raps,raps,4.65,17.387
2574,rare,rare,6.02,17.201
8799,rarely,rarely,4.38,13.686
9801,rat,rat,3.04,18.622
5604,rate,rate,5.34,12.224
4825,rated,rated,5.5,14.321
7873,rates,rates,4.84,11.493
7305,rather,rather,4.98,11.337
4633,rating,rating,5.54,10.919
3025,ratings,ratings,5.9,12.657
5268,ratio,ratio,5.41,14.277
1621,rational,rational,6.36,14.107
7393,raton,raton,4.96,8.797
9659,rats,rats,3.29,1.893
6912,rattle,rattle,5.06,1.544
8943,raw,raw,4.24,12.867
4720,ray,ray,5.52,14.602
3841,raymond,raymond,5.7,13.887
1325,rays,rays,6.49,1.416
7479,razor,razor,4.94,14.057
7121,rc,rc,5.02,769
7795,rd,rd,4.86,8.084
7724,re,re,4.88,6.273
8135,re-election,re-election,4.76,16.971
3672,reach,reach,5.74,13.969
2390,reached,reached,6.08,12.591
2798,reaches,reaches,5.96,13.696
4312,reaching,reaching,5.6,11.066
6448,react,react,5.16,12.835
4721,reaction,reaction,5.52,9.947
5159,reactions,reactions,5.44,9.655
1276,read,read,6.52,1.581
1713,reader,reader,6.32,11.856
2167,readers,readers,6.16,12.349
2283,readily,readily,6.1,14.475
843,reading,reading,6.78,14.609
1161,ready,ready,6.58,11.622
7874,reagan,reagan,4.84,15.301
7569,reais,reais,4.92,6.952
844,real,real,6.78,12.002
6167,real-estate,real-estate,5.22,16.073
2061,realise,realise,6.18,12.529
3335,realised,realised,5.82,13.805
2885,reality,reality,5.94,16.464
3259,realize,realize,5.84,10.759
3503,realized,realized,5.78,14.609
3260,really,really,5.84,14.896
4066,realm,realm,5.65,14.656
4027,reap,reap,5.66,15.201
6620,rear,rear,5.12,14.658
4634,rearrange,rearrange,5.54,12.488
4635,reason,reason,5.54,14.737
1562,reasonable,reasonable,6.38,8.303
1830,reasonably,reasonably,6.27,13.643
1769,reasoning,reasoning,6.3,12.495
6001,reasons,reasons,5.26,10.063
5036,rebecca,rebecca,5.46,13.433
8800,rebel,rebel,4.38,16.022
8895,rebellion,rebellion,4.29,16.833
8944,rebels,rebels,4.24,15.059
5686,rebounds,rebounds,5.32,13.161
8510,recall,recall,4.6,22.768
8758,recalled,recalled,4.42,17.154
1315,receive,receive,6.5,11.112
1664,received,received,6.34,11.537
2236,receives,receives,6.13,14.237
1237,receiving,receiving,6.54,12.324
4528,recent,recent,5.56,11.095
5129,recently,recently,5.44,11.095
1383,reception,reception,6.46,11.287
4758,receptor,receptor,5.51,14.307
10058,recession,recession,2.48,15.016
1316,recipe,recipe,6.5,14.463
738,recipes,recipes,6.86,13.095
9350,reckless,reckless,3.74,19.146
1238,recognition,recognition,6.54,11.817
2391,recognize,recognize,6.08,14.119
2392,recognized,recognized,6.08,13.068
4139,recommend,recommend,5.64,16.995
