Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7013,s,s,5.04,4.932
7417,s,s,4.94,10.184
8138,sa,sa,4.76,9.161
7573,sabe,sabe,4.92,1.085
8207,saber,saber,4.74,16.759
6452,sabes,sabes,5.16,11.132
8022,sachs,sachs,4.8,13.851
8511,sack,sack,4.6,14.983
4235,sacred,sacred,5.62,18.614
9090,sacrifice,sacrifice,4.1,21.309
10090,sad,sad,2.38,16.149
10059,saddam,saddam,2.48,1.568
10075,saddened,saddened,2.44,12.803
3958,saddle,saddle,5.67,1.449
10110,sadly,sadly,2.28,14.714
10191,sadness,sadness,1.88,11.891
557,safe,safe,7.04,16.157
640,safely,safely,6.96,14.563
2109,safety,safety,6.18,17.343
8945,sag,sag,4.24,1.318
6730,sai,sai,5.1,15.286
5412,said,said,5.38,901
774,sail,sail,6.84,15.592
1251,sailed,sailed,6.53,15.289
741,sailing,sailing,6.86,14.848
2057,sailor,sailor,6.19,12.272
1565,sails,sails,6.38,13.834
1666,saint,saint,6.34,18.026
579,saints,saints,7.02,17.201
6625,sais,sais,5.12,14.934
4034,sake,sake,5.66,14.654
1056,salad,salad,6.64,17.114
1087,salaries,salaries,6.62,1.817
395,salary,salary,7.22,13.445
1163,sale,sale,6.58,16.424
3421,sales,sales,5.8,11.066
4945,sally,sally,5.48,9.089
2888,salmon,salmon,5.94,17.072
6080,salomon,salomon,5.24,10.214
2952,salon,salon,5.92,13.679
3942,salt,salt,5.68,15.706
1771,salvation,salvation,6.3,19.193
5239,sam,sam,5.42,1.295
7125,sama,sama,5.02,6.543
5505,same,same,5.36,12.739
3262,sample,sample,5.84,9.337
3959,samples,samples,5.67,1.197
1926,samsung,samsung,6.24,12.048
5798,samuel,samuel,5.3,11.473
7126,san,san,5.02,5.887
9265,sanctions,sanctions,3.86,17.844
3177,sand,sand,5.86,1.578
7875,sanders,sanders,4.84,12.993
5040,sandra,sandra,5.46,9.304
2009,sands,sands,6.2,15.135
538,sandwich,sandwich,7.06,13.763
4035,sandy,sandy,5.66,17.333
3338,sane,sane,5.82,16.123
1277,sang,sang,6.52,1.313
8667,sangre,sangre,4.5,1.233
1327,sanity,sanity,6.49,13.712
8139,sans,sans,4.76,12.048
816,santa,santa,6.8,17.728
4730,sara,sara,5.52,1.764
5338,sarah,sarah,5.4,16.288
6081,sat,sat,5.24,13.334
10030,satan,satan,2.56,21.301
3752,satellite,satellite,5.72,13.559
283,satisfaction,satisfaction,7.34,11.178
1425,satisfactory,satisfactory,6.44,16.056
336,satisfied,satisfied,7.28,15.258
284,satisfy,satisfy,7.34,14.373
233,saturday,saturday,7.42,17.154
176,saturdays,saturdays,7.52,1.729
2516,sauce,sauce,6.04,13.991
8554,saudi,saudi,4.58,14.299
2169,sausage,sausage,6.16,18.223
9649,savage,savage,3.31,19.473
1242,save,save,6.54,11.643
713,saved,saved,6.88,1.507
1566,saves,saves,6.38,15.238
641,saving,saving,6.96,1.261
352,savings,savings,7.26,12.747
867,savior,savior,6.76,16.233
1172,saviour,saviour,6.57,15.275
5132,saw,saw,5.44,8.122
4641,say,say,5.54,9.941
7484,sayin,sayin,4.94,13.911
4317,saying,saying,5.6,8.571
5895,says,says,5.28,11.959
7127,sc,sc,5.02,8.687
7728,scale,scale,4.88,13.037
5799,scales,scales,5.3,12.817
9714,scandal,scandal,3.18,15.609
9666,scar,scar,3.28,14.574
8706,scarcely,scarcely,4.46,14.028
9803,scare,scare,3.04,15.644
10017,scared,scared,2.58,14.299
9668,scarred,scarred,3.27,20.287
9647,scars,scars,3.32,17.313
7308,scarsdale,scarsdale,4.98,12.036
10018,scary,scary,2.58,17.272
8858,scattered,scattered,4.32,13.468
2889,scene,scene,5.94,13.311
3030,scenes,scenes,5.9,12.164
1735,scent,scent,6.31,12.451
7128,schedule,schedule,5.02,13.923
5896,scheduled,scheduled,5.28,11.959
7968,scheme,scheme,4.82,16.668
6826,schemes,schemes,5.08,15.628
7309,schneider,schneider,4.98,8.919
1355,scholar,scholar,6.48,11.292
1243,scholars,scholars,6.54,12.969
558,scholarship,scholarship,7.04,16.532
7396,schon,schon,4.96,6.688
1866,school,school,6.26,18.824
2735,schools,schools,5.98,14.356
6731,schwartz,schwartz,5.1,11.112
742,science,science,6.86,1.578
1772,sciences,sciences,6.3,13.286
1426,scientific,scientific,6.44,15.274
2110,scientist,scientist,6.18,12.887
1667,scientists,scientists,6.34,14.654
3782,scope,scope,5.71,14.136
1567,score,score,6.38,10.859
1390,scored,scored,6.46,16.439
3031,scores,scores,5.9,11.294
1427,scoring,scoring,6.44,1.248
1002,scotland,scotland,6.68,14.907
6827,scott,scott,5.08,6.952
3100,scout,scout,5.88,10.999
8976,scratch,scratch,4.22,13.746
9739,scream,scream,3.14,14.144
9669,screamed,screamed,3.27,16.429
9704,screamin,screamin,3.2,17.957
9835,screaming,screaming,2.96,15.248
9530,screams,screams,3.48,2.042
3675,screen,screen,5.74,12.586
6917,screening,screening,5.06,14.344
1356,screenplay,screenplay,6.48,12.329
8997,screw,screw,4.2,18.516
9684,screwed,screwed,3.24,16.107
3753,script,script,5.72,17.384
3115,scripture,scripture,5.88,17.336
1032,sculpture,sculpture,6.66,12.554
8311,sd,sd,4.7,13.132
7729,se,se,4.88,12.558
665,sea,sea,6.94,12.843
3199,seal,seal,5.86,15.138
6655,sealed,sealed,5.1,15.444
5240,sean,sean,5.42,9.278
5133,search,search,5.44,11.808
6293,searched,searched,5.19,1.299
7014,searching,searching,5.04,13.395
743,seas,seas,6.86,16.289
2806,season,season,5.96,11.421
868,seasons,seasons,6.76,12.216
3178,seat,seat,5.86,1.05
3433,seated,seated,5.8,12.204
4422,seats,seats,5.58,13.415
3032,seattle,seattle,5.9,12.657
5800,sec,sec,5.3,10.351
5413,second,second,5.38,11.933
6272,secondary,secondary,5.2,11.606
6828,seconds,seconds,5.08,9.655
7876,secret,secret,4.84,16.081
5241,secretary,secretary,5.42,13.107
5897,secrets,secrets,5.28,18.187
5898,section,section,5.28,834
6273,sections,sections,5.2,11.721
7652,sector,sector,4.9,1.233
4141,secular,secular,5.64,14.535
677,secure,secure,6.92,12.911
944,secured,secured,6.71,11.478
5414,securities,securities,5.38,20.493
2332,security,security,6.1,1.632
2459,see,see,6.06,10.577
2182,seed,seed,6.14,13.844
1530,seeds,seeds,6.39,14.974
1568,seeing,seeing,6.38,13.076
3754,seek,seek,5.72,11.613
4318,seeking,seeking,5.6,11.429
3943,seeks,seeks,5.68,9.988
6082,seem,seem,5.24,9.596
6543,seemed,seemed,5.14,1.05
6169,seems,seems,5.22,975
5339,seen,seen,5.4,11.952
3598,sees,sees,5.76,14.078
5041,segment,segment,5.46,14.875
8583,seh,seh,4.56,15.005
7730,sei,sei,4.88,1.023
7397,sein,sein,4.96,12.115
9562,seized,seized,3.44,14.591
8524,seldom,seldom,4.59,15.187
5242,select,select,5.42,12.469
1718,selected,selected,6.32,11.683
2807,selection,selection,5.96,1.293
5692,selena,selena,5.32,9.355
1927,self,self,6.24,12.382
10003,selfish,selfish,2.6,10.498
4946,sell,sell,5.48,11.292
7952,sellin,sellin,4.82,14.525
3599,selling,selling,5.76,15.851
4236,sells,sells,5.62,13.231
8762,sem,sem,4.42,12.304
7398,semana,semana,4.96,10.093
6007,semester,semester,5.26,17.001
5930,semi,semi,5.27,1.335
6760,sempre,sempre,5.08,1.397
6829,sen,sen,5.08,9.864
8312,senate,senate,4.7,14.178
8555,senator,senator,4.58,14.299
8621,senators,senators,4.54,17.286
5415,send,send,5.38,13.536
3422,sending,sending,5.8,9.258
2953,sends,sends,5.92,9.223
4142,senior,senior,5.64,12.081
973,sensation,sensation,6.68,14.004
1773,sense,sense,6.3,10.351
2288,senses,senses,6.1,14.895
7798,sensitive,sensitive,4.86,14.144
5416,sensitivity,sensitivity,5.38,17.715
3050,sensory,sensory,5.9,13.423
5042,sent,sent,5.46,9.082
6170,sentence,sentence,5.22,14.469
9380,sentenced,sentenced,3.7,16.568
4343,sentences,sentences,5.59,1.632
3445,sentiment,sentiment,5.8,19.037
1816,sentimental,sentimental,6.28,16.665
7214,sentir,sentir,5,12.122
7749,senza,senza,4.88,12.985
7799,seo,seo,4.86,1.125
8859,separate,separate,4.32,15.576
9589,separated,separated,3.4,13.248
8587,separately,separately,4.55,15.147
9500,separation,separation,3.53,18.155
5134,sept,sept,5.44,10.333
1668,september,september,6.34,14.086
3101,sequence,sequence,5.88,13.192
8313,ser,ser,4.7,10.926
6377,sera,sera,5.18,11.899
8314,serbian,serbian,4.7,13.286
8477,serbs,serbs,4.62,13.686
6008,sergeant,sergeant,5.26,12.747
5043,series,series,5.46,9.304
8763,serious,serious,4.42,14.581
8315,seriously,seriously,4.7,15.551
5899,serum,serum,5.28,13.263
9095,servant,servant,4.08,13.668
9462,servants,servants,3.56,16.999
5044,serve,serve,5.46,13.126
4036,served,served,5.66,1.239
4947,server,server,5.48,1.313
3676,serves,serves,5.74,16.513
2653,service,service,6,11.606
3179,services,services,5.86,1.578
4143,serving,serving,5.64,13.516
2460,servings,servings,6.06,14.057
8253,ses,ses,4.72,11.959
5610,session,session,5.34,11.178
4948,sessions,sessions,5.48,9.311
4423,set,set,5.58,11.968
5801,seth,seth,5.3,11.473
6830,sets,sets,5.08,13.377
7129,setting,setting,5.02,13.013
4831,settings,settings,5.5,12.548
6831,settle,settle,5.08,14.405
3677,settled,settled,5.74,15.493
3033,settlement,settlement,5.9,15.017
7877,setup,setup,4.84,14.049
8398,seu,seu,4.66,11.537
4037,seven,seven,5.66,12.554
1994,seventeen,seventeen,6.22,15.425
2535,seventeenth,seventeenth,6.02,11.813
6832,seventh,seventh,5.08,6.652
5135,seventy,seventy,5.44,1.567
4038,several,several,5.66,9.172
9725,severe,severe,3.16,17.186
217,sex,sex,7.44,16.801
2046,sexual,sexual,6.2,14.569
241,sexy,sexy,7.4,12.289
5802,seymour,seymour,5.3,10.351
6083,sf,sf,5.24,14.365
7731,sgt,sgt,4.88,10.622
7015,sha,sha,5.04,9.026
8807,shack,shack,4.36,14.054
2333,shade,shade,6.1,16.812
3283,shades,shades,5.84,14.046
7574,shadow,shadow,4.92,14.405
6626,shadows,shadows,5.12,17.337
8360,shady,shady,4.68,17.076
7215,shaggy,shaggy,5,14.846
6544,shake,shake,5.14,11.954
8326,shakes,shakes,4.69,18.237
714,shakespeare,shakespeare,6.88,17.802
5834,shakin,shakin,5.29,16.202
8867,shaking,shaking,4.31,17.523
5417,shall,shall,5.38,12.436
9067,shallow,shallow,4.12,15.732
9967,shame,shame,2.68,13.005
4949,shape,shape,5.48,8.628
3423,shaped,shaped,5.8,12.122
7800,shapiro,shapiro,4.86,10.304
846,share,share,6.78,14.039
817,shared,shared,6.8,13.401
4039,shareholders,shareholders,5.66,13.188
1003,shares,shares,6.68,12.196
539,sharing,sharing,7.06,12.843
9048,shark,shark,4.14,19.167
5045,sharon,sharon,5.46,9.733
7878,sharp,sharp,4.84,16.946
8826,sharply,sharply,4.36,16.383
9581,shatter,shatter,3.42,18.193
9446,shattered,shattered,3.6,16.903
6378,shaw,shaw,5.18,9.624
8512,shawty,shawty,4.6,17.496
2111,she,she,6.18,15.868
6453,she'll,she'll,5.16,10.174
4731,she's,she's,5.52,11.993
6108,shed,shed,5.22,12.627
2183,sheep,sheep,6.14,15.411
8622,sheesh,sheesh,4.54,15.147
4663,sheet,sheet,5.53,12.265
4144,sheets,sheets,5.64,10.645
5900,sheila,sheila,5.28,9.697
5724,shelf,shelf,5.31,11.031
3702,shell,shell,5.73,13.643
2409,shells,shells,6.06,15.057
1244,shelter,shelter,6.54,13.126
6918,sherman,sherman,5.06,8.668
6274,shes,shes,5.2,13.248
7334,shi,shi,4.97,13.587
3621,shield,shield,5.76,13.312
6009,shift,shift,5.26,10.461
463,shine,shine,7.14,17.144
138,shines,shines,7.6,15.944
559,shining,shining,7.04,17.608
903,shiny,shiny,6.74,12.257
2808,ship,ship,5.96,12.282
5046,shipping,shipping,5.46,13.126
2809,ships,ships,5.96,10.093
6010,shirley,shirley,5.26,10.844
1867,shirt,shirt,6.26,13.372
2223,shirts,shirts,6.14,10.304
10052,shit,shit,2.5,15.152
10019,shitty,shitty,2.58,15.661
9273,shiver,shiver,3.85,14.874
8140,sho,sho,4.76,11.528
9495,shock,shock,3.54,16.189
9423,shocked,shocked,3.64,13.211
3263,shoe,shoe,5.84,14.479
2461,shoes,shoes,6.06,1.544
8847,shook,shook,4.34,1.423
9547,shoot,shoot,3.46,16.686
9136,shootin,shootin,4.04,21.942
10047,shooting,shooting,2.52,17.407
869,shop,shop,6.76,10.412
1357,shopper,shopper,6.48,14.462
498,shopping,shopping,7.1,15.419
1057,shops,shops,6.64,12.415
1463,shore,shore,6.42,16.174
1513,shores,shores,6.4,16.162
8707,short,short,4.46,11.466
8478,short-term,short-term,4.62,13.076
8708,shorter,shorter,4.46,11.643
4424,shortly,shortly,5.58,13.107
2954,shorts,shorts,5.92,12.591
8399,shorty,shorty,4.66,14.654
10053,shot,shot,2.5,16.568
9457,shotgun,shotgun,3.58,18.745
9648,shots,shots,3.32,20.146
6084,should,should,5.24,11.704
8946,shoulda,shoulda,4.24,11.704
5047,shoulder,shoulder,5.46,12.157
2334,shoulders,shoulders,6.1,12.164
9285,shouldn't,shouldn't,3.84,8.172
9253,shout,shout,3.88,13.797
9582,shouting,shouting,3.42,16.047
4425,shoutout,shoutout,5.58,19.493
9351,shove,shove,3.74,17.357
1928,show,show,6.24,14.923
3678,showed,showed,5.74,10.063
934,shower,shower,6.72,15.124
1199,showers,showers,6.56,10.529
3264,showing,showing,5.84,8.418
2955,shown,shown,5.92,1.066
2394,shows,shows,6.08,10.467
8925,sht,sht,4.26,12.257
8643,shud,shud,4.52,11.993
9476,shut,shut,3.56,10.333
3508,shuttle,shuttle,5.78,9.322
8709,shy,shy,4.46,17.404
8783,shyt,shyt,4.4,14.286
5506,si,si,5.36,14.251
7953,sich,sich,4.82,9.409
10169,sick,sick,2.02,10.784
10196,sickness,sickness,1.84,11.843
6627,side,side,5.12,7.183
7016,sides,sides,5.04,11.773
4237,sidewalk,sidewalk,5.62,12.271
4040,sidney,sidney,5.66,11.178
7732,sie,sie,4.88,9.179
7733,siegel,siegel,4.88,9.613
6011,siempre,siempre,5.26,1.482
7603,siento,siento,4.92,12.721
9033,sigh,sigh,4.16,18.223
2112,sight,sight,6.18,9.833
2654,sights,sights,6,14.983
4041,sign,sign,5.66,12.875
5136,signal,signal,5.44,9.723
5243,signals,signals,5.42,11.445
3755,signed,signed,5.72,10.887
2350,significance,significance,6.08,12.721
792,significant,significant,6.82,10.821
2395,significantly,significantly,6.08,9.655
2517,signing,signing,6.04,14.841
4642,signs,signs,5.54,8.621
8087,sigo,sigo,4.78,9.322
7879,sih,sih,4.84,7.103
6545,silence,silence,5.14,1.738
6628,silent,silent,5.12,15.471
5445,silently,silently,5.37,15.505
720,silk,silk,6.88,14.525
4042,silkk,silkk,5.66,15.201
5803,silly,silly,5.3,19.821
1569,silver,silver,6.38,19.048
5507,sim,sim,5.36,9.638
2810,similar,similar,5.96,10.872
2752,similarly,similarly,5.98,10.816
6379,simon,simon,5.18,12.728
2577,simple,simple,6.02,14.637
1066,simplicity,simplicity,6.62,15.246
1464,simply,simply,6.42,13.566
4643,simpson,simpson,5.54,13.126
3424,simultaneously,simultaneously,5.8,12.617
9985,sin,sin,2.64,16.995
8141,sinai,sinai,4.76,11.528
6085,since,since,5.24,9.161
499,sincere,sincere,7.1,10.351
8324,sind,sind,4.69,12.617
218,sing,sing,7.44,13.426
2736,singapore,singapore,5.98,17.899
793,singer,singer,6.82,14.525
1125,singers,singers,6.6,15.908
642,singing,singing,6.96,17.019
6629,single,single,5.12,15.205
1358,sings,sings,6.48,1.787
5804,singular,singular,5.3,14.463
9323,sink,sink,3.79,16.008
9531,sinking,sinking,3.48,17.503
9633,sinner,sinner,3.33,18.426
9715,sinners,sinners,3.18,17.807
9880,sins,sins,2.88,13.171
4453,sip,sip,5.56,12.867
3847,sippin,sippin,5.7,11.112
6012,sir,sir,5.26,11.214
9458,sirens,sirens,3.58,14.995
1428,sis,sis,6.44,13.118
870,sister,sister,6.76,16.483
3339,sister-in-law,sister-in-law,5.82,15.739
1088,sisters,sisters,6.62,1.689
5508,sit,sit,5.36,12.249
5693,site,site,5.32,7.939
2655,sites,sites,6,11.606
5446,sits,sits,5.37,10.934
7017,sittin,sittin,5.04,14.563
3944,sitting,sitting,5.68,10.962
3679,situated,situated,5.74,10.654
7216,situation,situation,5,13.093
5065,situations,situations,5.45,11.376
5611,six,six,5.34,11.537
1531,sixteen,sixteen,6.39,14.835
6630,sixth,sixth,5.12,9.398
7485,sixty,sixty,4.94,17.775
7018,size,size,5.04,9.681
1004,skating,skating,6.68,12.848
1581,sketch,sketch,6.37,15.233
3265,ski,ski,5.84,13.303
444,skies,skies,7.16,13.456
1173,skill,skill,6.57,13.385
1570,skills,skills,6.38,15.504
4832,skin,skin,5.5,15.551
2956,skinny,skinny,5.92,15.232
5694,skip,skip,5.32,1.463
2474,skirt,skirt,6.04,20.712
8710,skool,skool,4.46,17.867
9211,skull,skull,3.96,16.325
83,sky,sky,7.76,10.797
1817,skype,skype,6.28,14.574
9194,slam,slam,3.98,16.351
6275,slang,slang,5.2,16.288
10060,slap,slap,2.48,15.285
9740,slapped,slapped,3.14,1.552
10085,slaughter,slaughter,2.41,18.362
10160,slave,slave,2.06,14.626
10170,slavery,slavery,2.02,15.842
10161,slaves,slaves,2.06,13.694
445,sleep,sleep,7.16,17.066
580,sleeping,sleeping,7.02,1.672
9859,sleepless,sleepless,2.92,15.497
1136,sleeps,sleeps,6.59,14.708
7653,sleepy,sleepy,4.9,17.757
7130,sleeve,sleeve,5.02,13.626
3116,sleigh,sleigh,5.88,18.175
1089,slept,slept,6.62,15.635
7131,slice,slice,5.02,14.913
6380,slick,slick,5.18,16.499
3600,slide,slide,5.76,12.216
8316,slight,slight,4.7,10.546
8023,slightly,slightly,4.8,8.571
2462,slim,slim,6.06,14.902
9304,slip,slip,3.82,12.887
9271,slipped,slipped,3.86,15.811
8890,slippin,slippin,4.29,1.713
9245,slipping,slipping,3.9,14.463
