Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7881,t,t,4.84,7.656
2117,t-shirt,t-shirt,6.18,14.384
8144,ta,ta,4.76,11.704
5700,table,table,5.32,6.833
5248,tables,tables,5.42,8.352
6738,tablet,tablet,5.1,1.594
7488,tackle,tackle,4.94,15.039
2052,taco,taco,6.2,17.496
1200,tacos,tacos,6.56,14.868
5810,tactics,tactics,5.3,15.811
6842,tag,tag,5.08,12.752
3960,tail,tail,5.67,15.054
5518,taiwan,taiwan,5.36,12.739
6552,tak,tak,5.14,14.287
6384,take,take,5.18,15.077
8910,taken,taken,4.28,14.714
9091,takeover,takeover,4.1,1.632
7026,takes,takes,5.04,11.421
7489,takin,takin,4.94,12.521
5701,taking,taking,5.32,13.005
6174,tal,tal,5.22,9.538
1932,tale,tale,6.24,1.135
541,talent,talent,7.06,9.775
542,talented,talented,7.06,15.308
1320,tales,tales,6.5,1.594
2466,talk,talk,6.06,10.577
3038,talked,talked,5.9,12.657
4430,talkin,talkin,5.58,19.388
1391,talking,talking,6.46,12.324
3343,talks,talks,5.82,1.207
3269,tall,tall,5.84,13.607
4566,tame,tame,5.55,14.151
4955,tampa,tampa,5.48,9.739
5423,tan,tan,5.38,1.713
8803,tangled,tangled,4.38,16.022
8734,tank,tank,4.44,16.056
7027,tanto,tanto,5.04,12.282
5345,tap,tap,5.4,12.289
6277,tape,tape,5.2,11.952
8526,tarde,tarde,4.58,14.267
5519,target,target,5.36,15.221
8145,targets,targets,4.76,14.786
7579,task,task,4.92,13.377
6298,tasks,tasks,5.18,14.531
716,taste,taste,6.88,1.272
1572,tasted,tasted,6.38,13.231
1573,tastes,tastes,6.38,1.76
1247,tasting,tasting,6.54,11.466
153,tasty,tasty,7.58,11.265
6843,tattoo,tattoo,5.08,20.785
6633,tau,tau,5.12,9.613
2814,taught,taught,5.96,14.563
9889,tax,tax,2.86,14.144
9480,taxation,taxation,3.55,18.491
9955,taxes,taxes,2.7,15.286
3760,taxi,taxi,5.72,12.623
9068,taxpayers,taxpayers,4.12,15.205
4736,taylor,taylor,5.52,12.329
6927,td,td,5.06,13.001
7658,te,te,4.9,9.091
1034,tea,tea,6.66,16.612
1201,teach,teach,6.56,15.539
1626,teacher,teacher,6.36,15.354
1432,teachers,teachers,6.44,12.961
965,teaches,teaches,6.7,10.926
1433,teaching,teaching,6.44,1.198
1870,team,team,6.26,14.259
3685,team's,team's,5.74,11.395
2579,teams,teams,6.02,11.692
9764,tear,tear,3.1,1.374
9507,teardrops,teardrops,3.52,1.729
9357,tearing,tearing,3.73,13.811
10067,tears,tears,2.46,15.012
8828,tease,tease,4.36,20.875
1998,tech,tech,6.22,13.293
5424,technical,technical,5.38,16.022
2894,technique,technique,5.94,9.982
4152,techniques,techniques,5.64,10.645
1820,technological,technological,6.28,14.003
1627,technologies,technologies,6.36,16.874
906,technology,technology,6.74,14.957
6175,ted,ted,5.22,8.873
4153,tee,tee,5.64,9.638
2960,teen,teen,5.92,19.361
3344,teen-agers,teen-agers,5.82,17.225
4431,teenage,teenage,5.58,18.305
3182,teens,teens,5.86,1.552
5520,teeth,teeth,5.36,18.709
7138,teh,teh,5.02,12.696
8168,tek,tek,4.76,14.073
2338,telecommunications,telecommunications,6.1,17.053
3270,telephone,telephone,5.84,19.098
8146,telerate,telerate,4.76,12.382
1035,television,television,6.66,15.858
5249,tell,tell,5.42,10.319
7806,tellin,tellin,4.86,13.095
5811,telling,telling,5.3,10.546
5702,tells,tells,5.32,12.688
8147,tem,tem,4.76,9.161
7882,temp,temp,4.84,14.194
9107,temper,temper,4.08,17.939
7490,temperature,temperature,4.94,15.039
3778,temperatures,temperatures,5.71,15.138
2227,temple,temple,6.14,14.144
2399,tempo,tempo,6.08,13.068
5909,temporal,temporal,5.28,13.099
8668,temporary,temporary,4.5,13.439
7415,temps,temps,4.96,1.241
