Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
4742,u,u,5.52,1.729
7957,udah,udah,4.82,6.908
7402,ufc,ufc,4.96,12.447
9509,ugh,ugh,3.52,15.016
9227,ughh,ughh,3.92,13.068
9942,ugly,ugly,2.74,14.401
8998,uh,uh,4.2,13.851
8588,uhh,uhh,4.55,12.427
8562,uit,uit,4.56,13.824
3272,uk,uk,5.84,15.696
1248,ultimate,ultimate,6.54,12.324
3764,ultimately,ultimately,5.72,13.708
8404,um,um,4.66,9.172
7662,uma,uma,4.9,11.824
2965,umbrella,umbrella,5.92,12.911
8257,umm,umm,4.72,14.988
7739,ummm,ummm,4.88,9.398
8443,un,un,4.64,7.217
7499,una,una,4.94,11.141
9765,unable,unable,3.1,8.391
9258,uncertain,uncertain,3.88,11.481
9425,uncertainty,uncertainty,3.64,10.451
820,uncle,uncle,6.8,15.649
9209,unclear,unclear,3.96,1.428
9594,unconscious,unconscious,3.39,15.113
8645,und,und,4.52,11.471
8516,under,under,4.6,13.093
7031,undercover,undercover,5.04,16.031
6848,underground,underground,5.08,15.097
9002,underlying,underlying,4.19,13.128
8258,underneath,underneath,4.72,12.296
1203,understand,understand,6.56,17.043
769,understanding,understanding,6.84,11.669
748,understands,understands,6.86,12.076
1169,understood,understood,6.58,11.796
6184,undertaken,undertaken,5.22,13.596
8414,undone,undone,4.65,12.341
5071,undoubtedly,undoubtedly,5.45,14.567
7587,une,une,4.92,12.911
10142,unemployment,unemployment,2.12,10.029
9629,unfair,unfair,3.34,20.062
5062,unfold,unfold,5.46,13.202
9121,unfollow,unfollow,4.06,10.577
9847,unfortunate,unfortunate,2.94,14.636
9937,unfortunately,unfortunately,2.76,15.722
10143,unhappy,unhappy,2.12,13.649
9944,unholy,unholy,2.73,13.951
7143,uni,uni,5.02,13.169
6017,uniform,uniform,5.26,16.264
2522,union,union,6.04,13.991
5915,unions,unions,5.28,16.542
617,unique,unique,6.98,14.356
4840,unit,unit,5.5,9.742
1064,unite,unite,6.64,11.911
298,united,united,7.32,12.027
6018,units,units,5.26,10.264
679,unity,unity,6.92,17.478
1724,universal,universal,6.32,14.907
770,universe,universe,6.84,12.835
1204,universities,universities,6.56,16.801
908,university,university,6.74,13.822
2276,university's,university's,6.12,14.518
9902,unkind,unkind,2.84,18.775
9138,unknown,unknown,4.04,15.113
8952,unless,unless,4.24,10.012
9139,unlike,unlike,4.04,14.136
9528,unlikely,unlikely,3.48,1.313
1132,unlimited,unlimited,6.6,16.288
1725,unlocked,unlocked,6.32,13.768
9335,unnecessary,unnecessary,3.78,15.581
5054,uno,uno,5.46,9.521
9018,unpublished,unpublished,4.18,13.045
8559,unreal,unreal,4.57,16.708
8327,uns,uns,4.69,11.878
8101,unseen,unseen,4.78,12.122
7500,until,until,4.94,7.117
6761,unto,unto,5.08,1.077
9511,untrue,untrue,3.51,1.309
8736,unusual,unusual,4.44,14.868
2582,unwind,unwind,6.02,1.846
2232,up,up,6.14,15.254
1872,upcoming,upcoming,6.26,10.264
3765,update,update,5.72,14.852
2468,updated,updated,6.06,12.357
2233,updates,updates,6.14,12.124
1934,updating,updating,6.24,10.606
1170,upgrade,upgrade,6.58,11.796
4157,upload,upload,5.64,13.667
3513,uploaded,uploaded,5.78,11.301
5623,upon,upon,5.34,6.884
3347,upper,upper,5.82,919
2401,ups,ups,6.08,16.517
10031,upset,upset,2.56,14.309
2006,upside,upside,6.21,13.832
4050,upstairs,upstairs,5.66,11.537
9021,uptight,uptight,4.17,19.278
1831,uptown,uptown,6.27,11.982
2055,upward,upward,6.2,15.119
7403,ur,ur,4.96,16.532
3273,urban,urban,5.84,15.566
6385,urge,urge,5.18,13.045
8625,urged,urged,4.54,12.969
9535,urine,urine,3.47,16.721
4743,url,url,5.52,9.739
5709,urself,urself,5.32,18.674
1873,us,us,6.26,17.591
1171,usa,usa,6.58,18.416
4744,usage,usage,5.52,15.016
3954,usb,usb,5.68,1.019
4158,use,use,5.64,11.563
8517,used,used,4.6,14.846
503,useful,useful,7.1,11.995
10048,useless,useless,2.52,14.177
4961,user,user,5.48,1.015
4962,users,users,5.48,11.471
3766,uses,uses,5.72,11.613
7232,using,using,5,10.498
6185,usual,usual,5.22,11.119
4051,usually,usually,5.66,8.947
6466,utah,utah,5.16,13.149
4327,utilities,utilities,5.6,17.023
4963,utility,utility,5.48,12.162
8646,utterly,utterly,4.52,17.052
8364,uu,uu,4.68,12.196
