Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8405,v,v,4.66,13.032
2277,v-day,v-day,6.12,1.507
6849,va,va,5.08,13.827
50,vacation,vacation,7.92,19.042
2234,vagina,vagina,6.14,18.071
8259,vai,vai,4.72,8.091
9308,vain,vain,3.82,17.874
247,valentine,valentine,7.4,17.023
271,valentine's,valentine's,7.36,13.211
317,valentines,valentines,7.3,17.757
945,valid,valid,6.71,14.434
2402,validity,validity,6.08,11.578
1874,valley,valley,6.26,11.572
480,valuable,valuable,7.12,11.183
1628,value,value,6.36,12.415
717,valued,valued,6.88,11.183
938,values,values,6.72,15.654
4438,valve,valve,5.58,11.622
4964,vamos,vamos,5.48,12.329
8848,vampire,vampire,4.34,21.152
6282,van,van,5.2,14.286
5710,vancouver,vancouver,5.32,1.449
647,vanilla,vanilla,6.96,13.395
7588,var,var,4.92,11.578
4245,variable,variable,5.62,13.384
5270,variables,variables,5.41,12.403
4841,variation,variation,5.5,11.824
3185,variations,variations,5.86,11.954
4545,varied,varied,5.56,12.961
5711,varies,varies,5.32,9.134
1092,varieties,varieties,6.62,13.076
849,variety,variety,6.78,13.138
3514,various,various,5.78,864
4175,vary,vary,5.62,12.138
5726,varying,varying,5.31,14.463
7970,vas,vas,4.82,11.845
4159,vast,vast,5.64,15.354
7884,vc,vc,4.84,8.657
4246,vday,vday,5.62,1.76
7606,ve,ve,4.92,10.173
7416,veces,veces,4.96,10.793
5271,vector,vector,5.41,10.977
7740,veel,veel,4.88,1.272
7958,vegan,vegan,4.82,17.106
1629,vegas,vegas,6.36,1.793
2403,vehicle,vehicle,6.08,14.546
1824,vehicles,vehicles,6.28,14.988
7144,veil,veil,5.02,14.356
7971,vein,vein,4.82,15.367
6186,veins,veins,5.22,13.596
2352,velocity,velocity,6.08,10.376
1290,velvet,velvet,6.51,12.603
7663,ven,ven,4.9,13.286
9674,vengeance,vengeance,3.24,19.097
4160,venture,venture,5.64,13.211
2064,venus,venus,6.18,15.636
7050,veo,veo,5.02,11.635
8094,ver,ver,4.78,9.538
5527,verb,verb,5.36,11.563
4546,verbal,verbal,5.56,10.529
5635,verdad,verdad,5.33,11.252
8999,verdict,verdict,4.2,16.537
6467,verizon,verizon,5.16,13.756
4439,vermont,vermont,5.58,1.295
7885,vernon,vernon,4.84,12.349
4052,verse,verse,5.66,13.644
5916,version,version,5.28,834
5151,versions,versions,5.44,10.333
8026,versus,versus,4.8,12.289
6557,verte,verte,5.14,11.068
3855,vertical,vertical,5.7,9.313
2278,very,very,6.12,18.913
7032,ves,ves,5.04,11.773
3529,vessel,vessel,5.78,12.461
6097,vessels,vessels,5.24,14.507
5528,vest,vest,5.36,11.386
4745,vet,vet,5.52,11.993
4328,veteran,veteran,5.6,11.429
4161,veterans,veterans,5.64,1.849
8977,veto,veto,4.22,14.039
6098,veux,veux,5.24,10.797
7501,vez,vez,4.94,0.55
7404,vi,vi,4.96,10.294
5816,via,via,5.3,11.473
2536,vibe,vibe,6.02,14.789
9038,vice,vice,4.16,16.946
9818,vicious,vicious,3,19.272
10091,victim,victim,2.38,14.126
10103,victims,victims,2.32,15.043
2125,victor,victor,6.18,17.225
3107,victoria,victoria,5.88,12.395
154,victories,victories,7.58,17.623
30,victory,victory,7.98,10.784
7233,vid,vid,5,10.302
4547,vida,vida,5.56,12.803
1363,video,video,6.48,1.111
1281,videos,videos,6.52,1.581
5817,vids,vids,5.3,14.321
7521,vie,vie,4.94,9.087
7741,viel,viel,4.88,773
6468,viene,viene,5.16,11.314
2966,vienna,vienna,5.92,1.771
6283,viento,viento,5.2,12.936
8766,vietnam,vietnam,4.42,19.804
3767,view,view,5.72,11.256
4329,viewed,viewed,5.6,12.122
3186,viewers,viewers,5.86,12.779
3607,viewing,viewing,5.76,14.223
2967,views,views,5.92,10.069
7678,vii,vii,4.9,12.457
6640,viii,viii,5.12,12.229
4746,vikings,vikings,5.52,15.939
1825,village,village,6.28,11.256
939,villages,villages,6.72,13.708
5055,vincent,vincent,5.46,9.304
2976,vine,vine,5.92,12.721
1875,vintage,vintage,6.26,13.372
9995,violated,violated,2.62,13.834
9943,violation,violation,2.74,10.844
9890,violations,violations,2.86,14.287
10192,violence,violence,1.86,1.05
10163,violent,violent,2.06,13.463
1935,vip,vip,6.24,14.507
2665,virgin,virgin,6,15.779
1826,virginia,virginia,6.28,14.291
4247,virtual,virtual,5.62,12.271
4330,virtually,virtually,5.6,10.498
1367,virtue,virtue,6.47,1.769
971,virtues,virtues,6.69,14.318
10154,virus,virus,2.08,13.377
2523,visible,visible,6.04,8.797
1093,vision,vision,6.62,12.103
854,visions,visions,6.78,13.733
1249,visit,visit,6.54,11.988
5818,visitation,visitation,5.3,18.323
1778,visited,visited,6.3,14.178
1133,visiting,visiting,6.6,12.122
1726,visitors,visitors,6.32,16.956
1521,visits,visits,6.4,12.936
2666,vista,vista,6,13.851
2899,visual,visual,5.94,16.832
4344,vita,vita,5.59,13.832
3608,vital,vital,5.76,15.592
718,vitamin,vitamin,6.88,13.797
2968,viva,viva,5.92,17.124
2977,vive,vive,5.91,13.416
5727,vivir,vivir,5.31,13.261
3428,vivo,vivo,5.8,14.983
2524,vocal,vocal,6.04,15.513
1137,vocals,vocals,6.59,14.566
4548,vodka,vodka,5.56,22.602
8273,voel,voel,4.71,11.291
7234,voglio,voglio,5,1.291
3609,voice,voice,5.76,10.606
4549,voices,voices,5.56,15.005
9342,void,void,3.76,1.422
4842,vol,vol,5.5,15.152
5272,vols,vols,5.41,14.566
4550,voltage,voltage,5.56,12.803
3515,volume,volume,5.78,15.022
1736,volumes,volumes,6.31,12.943
1582,voluntary,voluntary,6.37,12.365
1630,volunteer,volunteer,6.36,13.815
1065,volunteers,volunteers,6.64,14.813
6558,volver,volver,5.14,12.456
6641,von,von,5.12,9.179
9269,voodoo,voodoo,3.86,20.405
7809,voor,voor,4.86,5.349
7810,vor,vor,4.86,10.692
7033,vos,vos,5.04,9.249
3429,vote,vote,5.8,15.779
2279,voted,voted,6.12,12.558
4440,voters,voters,5.58,13.107
2404,votes,votes,6.08,15.758
2583,voting,voting,6.02,13.775
6469,vou,vou,5.16,9.116
7145,vous,vous,5.02,12.204
3962,vow,vow,5.67,14.052
6935,voy,voy,5.06,6.518
691,voyage,voyage,6.9,13.286
6946,voz,voz,5.04,1.352
7146,vp,vp,5.02,1.237
8518,vs,vs,4.6,833
7811,vt,vt,4.86,15.909
6284,vuelve,vuelve,5.2,9.689
9630,vulnerable,vulnerable,3.34,15.066
6936,vuoi,vuoi,5.06,12.022
