Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
7812,w,w,4.86,9.478
7034,w/,w/,5.04,9.681
8585,w/o,w/o,4.56,12.961
7235,wa,wa,5,11.429
7236,waan,waan,5,13.188
8980,waar,waar,4.21,12.876
9092,wack,wack,4.1,11.112
1434,wage,wage,6.44,12.961
1522,wages,wages,6.4,13.401
5152,wagner,wagner,5.44,9.723
3287,wagon,wagon,5.83,1.324
7959,wah,wah,4.82,18.035
4441,waist,waist,5.58,13.716
9353,wait,wait,3.74,1.209
8863,waited,waited,4.32,16.092
8978,waitin,waitin,4.22,13.445
9394,waiting,waiting,3.68,12.362
8628,waits,waits,4.53,12.433
8260,wake,wake,4.72,16.542
5529,wakes,wakes,5.36,16.753
3768,waking,waking,5.72,14.574
2821,wales,wales,5.96,14.994
2584,walk,walk,6.02,15.451
2667,walked,walked,6,9.897
4331,walker,walker,5.6,15.518
3692,walkin,walkin,5.74,14.115
2126,walking,walking,6.18,15.609
3856,walks,walks,5.7,15.551
7324,wall,wall,4.98,9.581
8095,wallace,wallace,4.78,13.445
2900,wallet,wallet,5.94,10.577
6019,walls,walls,5.26,10.264
5624,walmart,walmart,5.34,22.733
7325,walsh,walsh,4.98,12.856
5530,walter,walter,5.36,14.251
7147,wana,wana,5.02,14.776
6642,wander,wander,5.12,16.368
5917,wandering,wandering,5.28,17.296
4843,wanna,wanna,5.5,15.419
3857,want,want,5.7,13.439
6850,wanted,wanted,5.08,17.825
8406,wanting,wanting,4.66,14.792
5432,wants,wants,5.38,13.231
10202,war,war,1.8,14.142
9019,warcraft,warcraft,4.18,17.106
7886,ward,ward,4.84,11.132
940,warm,warm,6.72,17.961
4442,warming,warming,5.58,18.962
374,warmth,warmth,7.24,16.483
8914,warn,warn,4.27,17.173
9510,warned,warned,3.52,1.313
6285,warner,warner,5.2,16.162
9631,warning,warning,3.34,1.423
7237,warren,warren,5,11.066
3693,warrior,warrior,5.74,21.458
4567,warriors,warriors,5.55,19.585
10188,wars,wars,1.9,13.286
7960,warum,warum,4.82,13.354
8519,was,was,4.6,8.081
3694,wash,wash,5.74,1.192
2969,washed,washed,5.92,15.497
5819,washing,washing,5.3,18.323
2525,washington,washington,6.04,12.115
8450,wasn,wasn,4.63,12.697
8912,wasn't,wasn't,4.28,11.436
9381,wasnt,wasnt,3.7,10.546
3858,wassup,wassup,5.7,19.923
9956,waste,waste,2.7,10.546
9930,wasted,wasted,2.78,11.657
9694,wasting,wasting,3.22,14.184
8737,wat,wat,4.44,13.118
3859,watch,watch,5.7,12.495
5056,watched,watched,5.46,12.651
4248,watches,watches,5.62,15.104
4332,watchin,watchin,5.6,12.122
3274,watching,watching,5.84,12.182
968,water,water,6.7,12.164
1727,waters,waters,6.32,11.507
8027,wats,wats,4.8,8.571
1674,wave,wave,6.34,11.537
1523,waves,waves,6.4,13.997
2281,waving,waving,6.11,14.481
5153,wax,wax,5.44,1.198
6099,way,way,5.24,14.223
6744,wayne,wayne,5.1,12.495
5820,ways,ways,5.3,1.165
1577,we,we,6.38,13.076
5531,we'd,we'd,5.36,11.563
4443,we'll,we'll,5.58,13.262
4844,we're,we're,5.5,10.152
4249,we've,we've,5.62,13.231
9903,weak,weak,2.84,12.513
9848,weakness,weakness,2.94,15.331
259,wealth,wealth,7.38,12.271
466,wealthy,wealthy,7.14,17.498
9619,weapon,weapon,3.36,1.663
10088,weapons,weapons,2.4,16.903
2901,wear,wear,5.94,13.911
4845,wearing,wearing,5.5,11.824
6470,wears,wears,5.16,9.765
9096,weary,weary,4.08,16.181
3108,weather,weather,5.88,15.205
4858,weave,weave,5.49,13.863
3275,web,web,5.84,17.422
1827,website,website,6.28,11.613
1936,websites,websites,6.24,14.923
2173,wed,wed,6.16,18.223
285,wedding,wedding,7.34,15.201
544,weddings,weddings,7.06,16.587
5433,wednesday,wednesday,5.38,13.384
3610,wednesdays,wednesdays,5.76,10.797
6100,wee,wee,5.24,15.194
8738,weed,weed,4.44,21.011
6851,week,week,5.08,14.546
6020,week's,week's,5.26,13.822
25,weekend,weekend,8,12.936
99,weekends,weekends,7.7,17.871
5821,weekly,weekly,5.3,1.594
6937,weeks,weeks,5.06,10.768
10119,weep,weep,2.22,14.181
9807,weeping,weeping,3.02,18.199
8154,weer,weer,4.76,9.161
7608,weet,weet,4.92,10.883
8220,weg,weg,4.73,12.209
8325,weh,weh,4.69,12.111
8647,weight,weight,4.52,1.555
7238,weighted,weighted,5,11.429
6559,weil,weil,5.14,14.848
9000,weird,weird,4.2,13.553
8155,weiss,weiss,4.76,14.078
8096,wel,wel,4.78,6.158
448,welcome,welcome,7.16,13.149
6745,welfare,welfare,5.1,19.821
1008,well,well,6.68,12.526
4965,wells,wells,5.48,8.862
9140,welt,welt,4.04,16.283
8028,wen,wen,4.8,10.498
3860,wendy,wendy,5.7,11.824
8156,wenn,wenn,4.76,10.012
7742,went,went,4.88,14.518
7664,wer,wer,4.9,6.776
7972,werden,werden,4.82,13.177
7813,were,were,4.86,1.143
8365,wereld,wereld,4.68,11.507
9158,weren't,weren't,4.02,11.516
3955,west,west,5.68,13.468
5532,westchester,westchester,5.36,13.962
2341,western,western,6.1,1.359
7148,westport,westport,5.02,10.593
4846,westside,westside,5.5,13.132
6560,wet,wet,5.14,14.144
7589,wha,wha,4.92,10.467
9635,whack,whack,3.32,14.345
1435,whale,whale,6.44,1.567
5273,whassup,whassup,5.41,17.902
8029,what,what,4.8,7.559
8030,what's,what's,4.8,8.571
4665,whatcha,whatcha,5.53,14.875
8557,whatever,whatever,4.58,9.916
8157,whats,whats,4.76,9.806
1733,wheat,wheat,6.31,13.862
3516,wheel,wheel,5.78,9.322
2174,wheels,wheels,6.16,12.182
7405,when,when,4.96,11.599
7590,whenever,whenever,4.92,14.405
7149,where,where,5.02,8.687
7239,where's,where's,5,8.571
7240,whereas,whereas,5,9.893
6471,whereby,whereby,5.16,11.314
4668,wherever,wherever,5.52,12.375
7591,whether,whether,4.92,6.652
5434,whew,whew,5.38,11.933
7502,which,which,4.94,10.184
6643,while,while,5.12,659
7035,whilst,whilst,5.04,12.115
9657,whip,whip,3.3,17.409
9001,whips,whips,4.2,1.906
3769,whiskey,whiskey,5.72,26.422
3611,whisper,whisper,5.76,1.598
6762,whispered,whispered,5.08,1.579
5447,whispering,whispering,5.37,16.291
4747,whispers,whispers,5.52,17.524
1737,whistle,whistle,6.31,14.024
1828,white,white,6.28,15.391
3861,whites,whites,5.7,12.164
5625,whitman,whitman,5.34,7.982
5626,whitney,whitney,5.34,11.713
6938,who,who,5.06,9.982
7241,who's,who's,5,11.606
6187,whoa,whoa,5.22,17.646
6939,whoever,whoever,5.06,9.127
3109,whole,whole,5.88,13.346
4162,wholesalers,wholesalers,5.64,16.383
2970,wholly,wholly,5.92,1.14
7503,whom,whom,4.94,11.502
2822,whoo,whoo,5.96,16.951
9745,whore,whore,3.14,21.094
9591,whores,whores,3.4,22.946
8031,whos,whos,4.8,6.701
7743,whose,whose,4.88,11.542
8366,wht,wht,4.68,13.005
7326,why,why,4.98,14.068
5533,wi,wi,5.36,8.751
9602,wicked,wicked,3.38,19.472
8479,wid,wid,4.62,10.669
5057,wide,wide,5.46,1.328
4250,widely,widely,5.62,10.476
5627,wider,wider,5.34,10.422
8032,widespread,widespread,4.8,11.429
9891,widow,widow,2.86,18.737
5274,width,width,5.41,9.336
7814,wie,wie,4.86,13.704
8097,wieder,wieder,4.78,975
1094,wife,wife,6.62,18.058
1631,wifi,wifi,6.36,15.221
7242,wig,wig,5,15.779
2280,wii,wii,6.12,1.599
8044,wij,wij,4.79,9.444
6940,wil,wil,5.06,9.775
4847,wild,wild,5.5,18.098
618,wildlife,wildlife,6.98,16.841
2585,will,will,6.02,13.013
5058,william,william,5.46,10.539
6286,williams,williams,5.2,9.689
6644,willie,willie,5.12,14.658
1524,willing,willing,6.4,10.302
3786,willow,willow,5.7,18.756
5154,wilson,wilson,5.44,7.866
11,win,win,8.12,10.812
3430,wind,wind,5.8,16.036
4551,winding,winding,5.56,13.273
2342,window,window,6.1,14.463
2586,windows,windows,6.02,13.923
3770,winds,winds,5.72,16.665
5822,windy,windy,5.3,18.434
1467,wine,wine,6.42,21.198
1829,wines,wines,6.28,23.737
2744,wing,wing,5.98,11.516
1282,wings,wings,6.52,12.816
1436,wink,wink,6.44,11.457
76,winner,winner,7.78,16.938
137,winners,winners,7.62,15.372
18,winning,winning,8.04,1.049
221,wins,wins,7.44,12.643
3041,winter,winter,5.9,21.783
7036,wipe,wipe,5.04,1.428
8367,wir,wir,4.68,13.161
8261,wird,wird,4.72,11.073
6645,wire,wire,5.12,8.722
2127,wireless,wireless,6.18,15.996
7406,wis,wis,4.96,9.889
4552,wisconsin,wisconsin,5.56,14.165
581,wisdom,wisdom,7.02,15.583
504,wise,wise,7.1,12.657
680,wish,wish,6.92,14.961
912,wished,wished,6.73,14.109
417,wishes,wishes,7.2,12.122
909,wishing,wishing,6.74,10.461
