Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
8687,y,y,4.48,11.648
6561,y'all,y'all,5.14,15.254
6189,ya,ya,5.22,16.573
4251,ya'll,ya'll,5.62,14.968
3864,yaa,yaa,5.7,1.374
2176,yacht,yacht,6.16,13.607
6387,yah,yah,5.18,15.077
2235,yahoo,yahoo,6.14,1.738
4654,yale,yale,5.54,17.168
7407,yall,yall,4.96,16.031
4444,yang,yang,5.58,13.716
4850,yankee,yankee,5.5,17.642
6190,yankees,yankees,5.22,16.199
4054,yard,yard,5.66,14.086
5437,yards,yards,5.38,9.234
2344,yay,yay,6.1,19.717
6647,ye,ye,5.12,13.649
2129,yea,yea,6.18,16.744
3042,yeah,yeah,5.9,11.473
5438,year,year,5.38,13.536
8480,year-ago,year-ago,4.62,14.553
5823,year's,year's,5.3,1.165
6562,yearning,yearning,5.14,15.651
5918,years,years,5.28,14.714
3110,yeh,yeh,5.88,15.602
9339,yell,yell,3.76,17.209
9778,yelling,yelling,3.08,15.628
3432,yellow,yellow,5.8,14.569
8407,yeltsin,yeltsin,4.66,10.616
5156,yen,yen,5.44,14.309
2817,yep,yep,5.96,16.655
8444,yer,yer,4.64,11.205
910,yes,yes,6.74,14.542
3520,yess,yess,5.78,1.799
7327,yesterday,yesterday,4.98,13.169
5439,yesterday's,yesterday's,5.38,14.693
8321,yet,yet,4.7,789
8586,yg,yg,4.56,10.529
6287,yi,yi,5.2,9.035
5712,yield,yield,5.32,16.092
2056,yields,yields,6.2,14.286
8864,yikes,yikes,4.32,16.343
5629,yo,yo,5.34,16.734
561,yoga,yoga,7.04,15.903
3869,yonder,yonder,5.69,15.573
4557,yonkers,yonkers,5.56,12.643
4252,york,york,5.62,11.761
5919,york's,york's,5.28,7.835
7408,yorker,yorker,4.96,16.157
5257,yorkers,yorkers,5.42,13.716
1940,you,you,6.24,1.546
5535,you'd,you'd,5.36,11.563
5258,you'll,you'll,5.42,13.107
5824,you're,you're,5.3,10.926
7150,you've,you've,5.02,11.337
7515,youll,youll,4.94,10.085
795,young,young,6.82,12.403
1525,younger,younger,6.4,14.983
4333,your,your,5.6,10.302
6747,youre,youre,5.1,1.374
1941,yours,yours,6.24,13.786
1942,yourself,yourself,6.24,15.059
1095,youth,youth,6.62,18.832
681,youtube,youtube,6.92,15.097
6748,youu,youu,5.1,10.546
6852,yr,yr,5.08,12.095
8033,yrs,yrs,4.8,11.249
8212,yu,yu,4.74,14.682
9727,yuck,yuck,3.16,16.333
5536,yugoslavia,yugoslavia,5.36,13.815
7666,yuh,yuh,4.9,13.439
505,yum,yum,7.1,1.488
399,yummy,yummy,7.22,17.876
7667,yup,yup,4.9,14.604
8408,yur,yur,4.66,13.342
