Rank,Word,Word in English,Happiness Score,Standard Deviation of Ratings
6853,z,z,5.08,8.291
8560,zal,zal,4.57,11.902
7815,ze,ze,4.86,13.403
7895,zeg,zeg,4.84,10.675
6395,zeit,zeit,5.16,10.675
9563,zero,zero,3.44,16.433
7522,zie,zie,4.94,10.799
8451,zij,zij,4.63,14.676
8213,zijn,zijn,4.74,6.328
5157,zion,zion,5.44,15.274
9585,zit,zit,3.41,16.447
7668,zo,zo,4.9,9.313
9529,zombie,zombie,3.48,1.821
9178,zombies,zombies,4,23.733
8034,zonder,zonder,4.8,12.936
5713,zone,zone,5.32,9.781
1096,zoo,zoo,6.62,1.968
8328,zou,zou,4.69,14.754
7243,zu,zu,5,6.061
7244,zum,zum,5,12.454
